[27/Dec/2025 19:33:36] {'acceleration': {'x': 0.057, 'y': -0.018, 'z': 1.101}, 'altitude': -0.29, 'latitude': 38.83577, 'longitude': -77.40485, 'temperature': 20.82, 'voltage': 7.4, 'replay_id': '2c930ffb32334f6299ca0e8e25070c5c', 'final_timestamp': '27/Dec/2025 19:39:25'}
[27/Dec/2025 19:33:38] {'acceleration': {'x': 0.058, 'y': -0.019, 'z': 1.1}, 'altitude': -0.26, 'latitude': 38.8358, 'longitude': -77.40486, 'temperature': 20.85, 'voltage': 7.4, 'replay_id': '2c930ffb32334f6299ca0e8e25070c5c', 'final_timestamp': '27/Dec/2025 19:39:25'}
[27/Dec/2025 19:33:39] {'acceleration': {'x': 0.054, 'y': -0.027, 'z': 1.099}, 'altitude': -0.45, 'latitude': 38.8358, 'longitude': -77.40487, 'temperature': 20.88, 'voltage': 7.4, 'replay_id': '2c930ffb32334f6299ca0e8e25070c5c', 'final_timestamp': '27/Dec/2025 19:39:25'}
[27/Dec/2025 19:33:40] {'acceleration': {'x': 0.062, 'y': -0.017, 'z': 1.094}, 'altitude': -0.58, 'latitude': 38.8358, 'longitude': -77.40488, 'temperature': 20.9, 'voltage': 7.4, 'replay_id': '2c930ffb32334f6299ca0e8e25070c5c', 'final_timestamp': '27/Dec/2025 19:39:25'}
[27/Dec/2025 19:33:41] {'acceleration': {'x': 0.054, 'y': -0.022, 'z': 1.101}, 'altitude': -0.01, 'latitude': 38.8358, 'longitude': -77.40488, 'temperature': 20.93, 'voltage': 7.4, 'replay_id': '2c930ffb32334f6299ca0e8e25070c5c', 'final_timestamp': '27/Dec/2025 19:39:25'}
[27/Dec/2025 19:33:43] {'acceleration': {'x': 0.062, 'y': -0.024, 'z': 1.098}, 'altitude': 0.16, 'latitude': 38.8358, 'longitude': -77.40488, 'temperature': 20.96, 'voltage': 7.4, 'replay_id': '2c930ffb32334f6299ca0e8e25070c5c', 'final_timestamp': '27/Dec/2025 19:39:25'}
[27/Dec/2025 19:33:45] {'acceleration': {'x': 0.062, 'y': -0.018, 'z': 1.086}, 'altitude': -0.27, 'latitude': 38.8358, 'longitude': -77.40488, 'temperature': 21, 'voltage': 7.4, 'replay_id': '2c930ffb32334f6299ca0e8e25070c5c', 'final_timestamp': '27/Dec/2025 19:39:25'}
[27/Dec/2025 19:33:46] {'acceleration': {'x': 0.055, 'y': -0.02, 'z': 1.097}, 'altitude': -0.2, 'latitude': 38.8358, 'longitude': -77.4049, 'temperature': 21.04, 'voltage': 7.4, 'replay_id': '2c930ffb32334f6299ca0e8e25070c5c', 'final_timestamp': '27/Dec/2025 19:39:25'}
[27/Dec/2025 19:33:48] {'acceleration': {'x': 0.061, 'y': -0.018, 'z': 1.097}, 'altitude': 0.3, 'latitude': 38.8358, 'longitude': -77.4049, 'temperature': 21.08, 'voltage': 7.4, 'replay_id': '2c930ffb32334f6299ca0e8e25070c5c', 'final_timestamp': '27/Dec/2025 19:39:25'}
[27/Dec/2025 19:33:49] {'acceleration': {'x': 0.06, 'y': -0.024, 'z': 1.106}, 'altitude': 0, 'latitude': 38.8358, 'longitude': -77.4049, 'temperature': 21.13, 'voltage': 7.4, 'replay_id': '2c930ffb32334f6299ca0e8e25070c5c', 'final_timestamp': '27/Dec/2025 19:39:25'}
[27/Dec/2025 19:33:51] {'acceleration': {'x': 0.062, 'y': -0.021, 'z': 1.096}, 'altitude': -0.7, 'latitude': 38.83579, 'longitude': -77.40491, 'temperature': 21.18, 'voltage': 7.4, 'replay_id': '2c930ffb32334f6299ca0e8e25070c5c', 'final_timestamp': '27/Dec/2025 19:39:25'}
