[11/Mar/2025 20:04:26] {'altitude': 0, 'instrument_released': 0, 'latitude': 38.8807, 'launched': 0, 'longitude': -77.4056, 'parachute_released': 0, 'pressure': 0, 'target_altitude_reached': 0, 'temperature': 0, 'x_acceleration': 0, 'x_rotation': 0, 'y_acceleration': 0, 'y_rotation': 0, 'z_acceleration': 0, 'z_rotation': 0, 'replay_id': '3eab394128e34c51b33191cb085b9ac6', 'final_timestamp': '11/Mar/2025 20:07:57'}
[11/Mar/2025 20:04:27] {'altitude': 0, 'instrument_released': 0, 'latitude': 38.8807, 'launched': 0, 'longitude': -77.4056, 'parachute_released': 0, 'pressure': 0, 'target_altitude_reached': 0, 'temperature': 0, 'x_acceleration': 0, 'x_rotation': 0, 'y_acceleration': 0, 'y_rotation': 0, 'z_acceleration': 0, 'z_rotation': 0, 'replay_id': '3eab394128e34c51b33191cb085b9ac6', 'final_timestamp': '11/Mar/2025 20:07:57'}
[11/Mar/2025 20:04:27] {'altitude': 0, 'instrument_released': 0, 'latitude': 38.8807, 'launched': 0, 'longitude': -77.4056, 'parachute_released': 0, 'pressure': 0, 'target_altitude_reached': 0, 'temperature': 0, 'x_acceleration': 0, 'x_rotation': 0, 'y_acceleration': 0, 'y_rotation': 0, 'z_acceleration': 0, 'z_rotation': 0, 'replay_id': '3eab394128e34c51b33191cb085b9ac6', 'final_timestamp': '11/Mar/2025 20:07:57'}
[11/Mar/2025 20:04:28] {'altitude': 0, 'instrument_released': 0, 'latitude': 38.8807, 'launched': 0, 'longitude': -77.4056, 'parachute_released': 0, 'pressure': 0, 'target_altitude_reached': 0, 'temperature': 0, 'x_acceleration': 0, 'x_rotation': 0, 'y_acceleration': 0, 'y_rotation': 0, 'z_acceleration': 0, 'z_rotation': 0, 'replay_id': '3eab394128e34c51b33191cb085b9ac6', 'final_timestamp': '11/Mar/2025 20:07:57'}
[11/Mar/2025 20:04:29] {'altitude': 0, 'instrument_released': 0, 'latitude': 38.8807, 'launched': 0, 'longitude': -77.4056, 'parachute_released': 0, 'pressure': 0, 'target_altitude_reached': 0, 'temperature': 0, 'x_acceleration': 0, 'x_rotation': 0, 'y_acceleration': 0, 'y_rotation': 0, 'z_acceleration': 0, 'z_rotation': 0, 'replay_id': '3eab394128e34c51b33191cb085b9ac6', 'final_timestamp': '11/Mar/2025 20:07:57'}
[11/Mar/2025 20:04:30] {'altitude': 0, 'instrument_released': 0, 'latitude': 38.8807, 'launched': 0, 'longitude': -77.4056, 'parachute_released': 0, 'pressure': 0, 'target_altitude_reached': 0, 'temperature': 0, 'x_acceleration': 0, 'x_rotation': 0, 'y_acceleration': 0, 'y_rotation': 0, 'z_acceleration': 0, 'z_rotation': 0, 'replay_id': '3eab394128e34c51b33191cb085b9ac6', 'final_timestamp': '11/Mar/2025 20:07:57'}
[11/Mar/2025 20:04:30] {'altitude': 0, 'instrument_released': 0, 'latitude': 38.8807, 'launched': 0, 'longitude': -77.4056, 'parachute_released': 0, 'pressure': 0, 'target_altitude_reached': 0, 'temperature': 0, 'x_acceleration': 0, 'x_rotation': 0, 'y_acceleration': 0, 'y_rotation': 0, 'z_acceleration': 0, 'z_rotation': 0, 'replay_id': '3eab394128e34c51b33191cb085b9ac6', 'final_timestamp': '11/Mar/2025 20:07:57'}
[11/Mar/2025 20:04:31] {'altitude': 0, 'instrument_released': 0, 'latitude': 38.8807, 'launched': 0, 'longitude': -77.4056, 'parachute_released': 0, 'pressure': 0, 'target_altitude_reached': 0, 'temperature': 0, 'x_acceleration': 0, 'x_rotation': 0, 'y_acceleration': 0, 'y_rotation': 0, 'z_acceleration': 0, 'z_rotation': 0, 'replay_id': '3eab394128e34c51b33191cb085b9ac6', 'final_timestamp': '11/Mar/2025 20:07:57'}
[11/Mar/2025 20:04:32] {'altitude': 0, 'instrument_released': 0, 'latitude': 38.8807, 'launched': 0, 'longitude': -77.4056, 'parachute_released': 0, 'pressure': 0, 'target_altitude_reached': 0, 'temperature': 0, 'x_acceleration': 0, 'x_rotation': 0, 'y_acceleration': 0, 'y_rotation': 0, 'z_acceleration': 0, 'z_rotation': 0, 'replay_id': '3eab394128e34c51b33191cb085b9ac6', 'final_timestamp': '11/Mar/2025 20:07:57'}
[11/Mar/2025 20:04:33] {'altitude': 0, 'instrument_released': 0, 'latitude': 38.8807, 'launched': 0, 'longitude': -77.4056, 'parachute_released': 0, 'pressure': 0, 'target_altitude_reached': 0, 'temperature': 0, 'x_acceleration': 0, 'x_rotation': 0, 'y_acceleration': 0, 'y_rotation': 0, 'z_acceleration': 0, 'z_rotation': 0, 'replay_id': '3eab394128e34c51b33191cb085b9ac6', 'final_timestamp': '11/Mar/2025 20:07:57'}
[11/Mar/2025 20:04:34] {'altitude': 0, 'instrument_released': 0, 'latitude': 38.8807, 'launched': 0, 'longitude': -77.4056, 'parachute_released': 0, 'pressure': 0, 'target_altitude_reached': 0, 'temperature': 0, 'x_acceleration': 0, 'x_rotation': 0, 'y_acceleration': 0, 'y_rotation': 0, 'z_acceleration': 0, 'z_rotation': 0, 'replay_id': '3eab394128e34c51b33191cb085b9ac6', 'final_timestamp': '11/Mar/2025 20:07:57'}
[11/Mar/2025 20:04:34] {'altitude': 0, 'instrument_released': 0, 'latitude': 38.8807, 'launched': 0, 'longitude': -77.4056, 'parachute_released': 0, 'pressure': 0, 'target_altitude_reached': 0, 'temperature': 0, 'x_acceleration': 0, 'x_rotation': 0, 'y_acceleration': 0, 'y_rotation': 0, 'z_acceleration': 0, 'z_rotation': 0, 'replay_id': '3eab394128e34c51b33191cb085b9ac6', 'final_timestamp': '11/Mar/2025 20:07:57'}
