[23/Nov/2024 12:10:54] {'altitude': 0.1, 'instrument_released': 0, 'latitude': 38.9072, 'launched': 0, 'longitude': -77.0369, 'parachute_released': 0, 'pressure': 99612.9, 'target_altitude_reached': 0, 'temperature': 24, 'x_rotation': 0.3, 'y_rotation': 1.1, 'z_rotation': 0.3, 'replay_id': '40355558d3aa4da6b4a377a37f1b6450', 'final_timestamp': '23/Nov/2024 17:21:36'}
[23/Nov/2024 12:10:55] {'altitude': 0.1, 'instrument_released': 0, 'latitude': 38.9072, 'launched': 0, 'longitude': -77.0369, 'parachute_released': 0, 'pressure': 99613.4, 'target_altitude_reached': 0, 'temperature': 24, 'x_rotation': 0.3, 'y_rotation': 0.9, 'z_rotation': 0.1, 'replay_id': '40355558d3aa4da6b4a377a37f1b6450', 'final_timestamp': '23/Nov/2024 17:21:36'}
[23/Nov/2024 12:10:55] {'altitude': 0.1, 'instrument_released': 0, 'latitude': 38.9072, 'launched': 0, 'longitude': -77.0369, 'parachute_released': 0, 'pressure': 99613.7, 'target_altitude_reached': 0, 'temperature': 24, 'x_rotation': -0.5, 'y_rotation': 0.4, 'z_rotation': 0.4, 'replay_id': '40355558d3aa4da6b4a377a37f1b6450', 'final_timestamp': '23/Nov/2024 17:21:36'}
[23/Nov/2024 12:10:56] {'altitude': -0.9, 'instrument_released': 0, 'latitude': 38.9072, 'launched': 0, 'longitude': -77.0369, 'parachute_released': 0, 'pressure': 99625, 'target_altitude_reached': 0, 'temperature': 24, 'x_rotation': 0.1, 'y_rotation': -1.3, 'z_rotation': 0.5, 'replay_id': '40355558d3aa4da6b4a377a37f1b6450', 'final_timestamp': '23/Nov/2024 17:21:36'}
[23/Nov/2024 12:10:57] {'altitude': -1.3, 'instrument_released': 0, 'latitude': 38.9072, 'launched': 0, 'longitude': -77.0369, 'parachute_released': 0, 'pressure': 99629.2, 'target_altitude_reached': 0, 'temperature': 23.9, 'x_rotation': 0.1, 'y_rotation': -1.1, 'z_rotation': 0.4, 'replay_id': '40355558d3aa4da6b4a377a37f1b6450', 'final_timestamp': '23/Nov/2024 17:21:36'}
[23/Nov/2024 12:10:58] {'altitude': -1.3, 'instrument_released': 0, 'latitude': 38.9072, 'launched': 0, 'longitude': -77.0369, 'parachute_released': 0, 'pressure': 99629.5, 'target_altitude_reached': 0, 'temperature': 23.9, 'x_rotation': 0.3, 'y_rotation': -1.3, 'z_rotation': 0.6, 'replay_id': '40355558d3aa4da6b4a377a37f1b6450', 'final_timestamp': '23/Nov/2024 17:21:36'}
[23/Nov/2024 12:10:59] {'altitude': -0.3, 'instrument_released': 0, 'latitude': 38.9072, 'launched': 0, 'longitude': -77.0369, 'parachute_released': 0, 'pressure': 99617.6, 'target_altitude_reached': 0, 'temperature': 23.8, 'x_rotation': 0.3, 'y_rotation': 0.7, 'z_rotation': 0.9, 'replay_id': '40355558d3aa4da6b4a377a37f1b6450', 'final_timestamp': '23/Nov/2024 17:21:36'}
[23/Nov/2024 12:10:59] {'altitude': -0.4, 'instrument_released': 0, 'latitude': 38.9072, 'launched': 0, 'longitude': -77.0369, 'parachute_released': 0, 'pressure': 99618.9, 'target_altitude_reached': 0, 'temperature': 23.7, 'x_rotation': 0.2, 'y_rotation': 0.2, 'z_rotation': 1.4, 'replay_id': '40355558d3aa4da6b4a377a37f1b6450', 'final_timestamp': '23/Nov/2024 17:21:36'}
[23/Nov/2024 12:11:00] {'altitude': -0.3, 'instrument_released': 0, 'latitude': 38.9072, 'launched': 0, 'longitude': -77.0369, 'parachute_released': 0, 'pressure': 99617.7, 'target_altitude_reached': 0, 'temperature': 23.7, 'x_rotation': 0.3, 'y_rotation': 0.4, 'z_rotation': 1.3, 'replay_id': '40355558d3aa4da6b4a377a37f1b6450', 'final_timestamp': '23/Nov/2024 17:21:36'}
[23/Nov/2024 12:11:00] {'altitude': -0.4, 'instrument_released': 0, 'latitude': 38.9072, 'launched': 0, 'longitude': -77.0369, 'parachute_released': 0, 'pressure': 99619.6, 'target_altitude_reached': 0, 'temperature': 23.7, 'x_rotation': -0.2, 'y_rotation': 1.2, 'z_rotation': 0.7, 'replay_id': '40355558d3aa4da6b4a377a37f1b6450', 'final_timestamp': '23/Nov/2024 17:21:36'}
[23/Nov/2024 12:11:01] {'altitude': -0.5, 'instrument_released': 0, 'latitude': 38.9072, 'launched': 0, 'longitude': -77.0369, 'parachute_released': 0, 'pressure': 99620.3, 'target_altitude_reached': 0, 'temperature': 23.7, 'x_rotation': -0.6, 'y_rotation': 0.1, 'z_rotation': 1.2, 'replay_id': '40355558d3aa4da6b4a377a37f1b6450', 'final_timestamp': '23/Nov/2024 17:21:36'}
