[01/Dec/2024 19:43:28] {'altitude': -0.5, 'instrument_released': 0, 'latitude': 38.9072, 'launched': 0, 'longitude': -77.0369, 'parachute_released': 0, 'pressure': 100766.2, 'target_altitude_reached': 0, 'temperature': 24.5, 'x_acceleration': 0, 'x_rotation': -0.7, 'y_acceleration': 0, 'y_rotation': 0.8, 'z_acceleration': 1.3, 'z_rotation': 1.1, 'replay_id': '7728802c81ec4a1d989435ba12b35a5e', 'final_timestamp': '01/Dec/2024 19:47:04'}
[01/Dec/2024 19:43:29] {'altitude': -0.2, 'instrument_released': 0, 'latitude': 38.9072, 'launched': 0, 'longitude': -77.0369, 'parachute_released': 0, 'pressure': 100764.8, 'target_altitude_reached': 0, 'temperature': 24.5, 'x_acceleration': 0, 'x_rotation': -1.3, 'y_acceleration': 0, 'y_rotation': 0.8, 'z_acceleration': 1.3, 'z_rotation': 0.9, 'replay_id': '7728802c81ec4a1d989435ba12b35a5e', 'final_timestamp': '01/Dec/2024 19:47:04'}
[01/Dec/2024 19:43:29] {'altitude': -0.3, 'instrument_released': 0, 'latitude': 38.9072, 'launched': 0, 'longitude': -77.0369, 'parachute_released': 0, 'pressure': 100766.2, 'target_altitude_reached': 0, 'temperature': 24.5, 'x_acceleration': 0, 'x_rotation': -1.2, 'y_acceleration': 0.1, 'y_rotation': 0.7, 'z_acceleration': 1.2, 'z_rotation': 1.3, 'replay_id': '7728802c81ec4a1d989435ba12b35a5e', 'final_timestamp': '01/Dec/2024 19:47:04'}
[01/Dec/2024 19:43:30] {'altitude': -0.5, 'instrument_released': 0, 'latitude': 38.9072, 'launched': 0, 'longitude': -77.0369, 'parachute_released': 0, 'pressure': 100766.2, 'target_altitude_reached': 0, 'temperature': 24.5, 'x_acceleration': 0, 'x_rotation': -1.5, 'y_acceleration': 0, 'y_rotation': 0.8, 'z_acceleration': 1.2, 'z_rotation': 1.1, 'replay_id': '7728802c81ec4a1d989435ba12b35a5e', 'final_timestamp': '01/Dec/2024 19:47:04'}
[01/Dec/2024 19:43:31] {'altitude': -0.9, 'instrument_released': 0, 'latitude': 38.9072, 'launched': 0, 'longitude': -77.0369, 'parachute_released': 0, 'pressure': 100767.6, 'target_altitude_reached': 0, 'temperature': 24.5, 'x_acceleration': 0, 'x_rotation': -1.3, 'y_acceleration': 0.1, 'y_rotation': 0.8, 'z_acceleration': 1.2, 'z_rotation': 1, 'replay_id': '7728802c81ec4a1d989435ba12b35a5e', 'final_timestamp': '01/Dec/2024 19:47:04'}
[01/Dec/2024 19:43:32] {'altitude': -0.2, 'instrument_released': 0, 'latitude': 38.9072, 'launched': 0, 'longitude': -77.0369, 'parachute_released': 0, 'pressure': 100765.5, 'target_altitude_reached': 0, 'temperature': 24.5, 'x_acceleration': 0, 'x_rotation': -1.2, 'y_acceleration': 0.1, 'y_rotation': 0.8, 'z_acceleration': 1.3, 'z_rotation': 1, 'replay_id': '7728802c81ec4a1d989435ba12b35a5e', 'final_timestamp': '01/Dec/2024 19:47:04'}
[01/Dec/2024 19:43:32] {'altitude': -0.2, 'instrument_released': 0, 'latitude': 38.9072, 'launched': 0, 'longitude': -77.0369, 'parachute_released': 0, 'pressure': 100764.8, 'target_altitude_reached': 0, 'temperature': 24.5, 'x_acceleration': 0, 'x_rotation': -1.5, 'y_acceleration': 0.1, 'y_rotation': 0.9, 'z_acceleration': 1.3, 'z_rotation': 1, 'replay_id': '7728802c81ec4a1d989435ba12b35a5e', 'final_timestamp': '01/Dec/2024 19:47:04'}
[01/Dec/2024 19:43:33] {'altitude': 0.2, 'instrument_released': 0, 'latitude': 38.9072, 'launched': 0, 'longitude': -77.0369, 'parachute_released': 0, 'pressure': 100763.4, 'target_altitude_reached': 0, 'temperature': 24.5, 'x_acceleration': 0, 'x_rotation': -1.6, 'y_acceleration': 0.1, 'y_rotation': 0.7, 'z_acceleration': 1.3, 'z_rotation': 1.9, 'replay_id': '7728802c81ec4a1d989435ba12b35a5e', 'final_timestamp': '01/Dec/2024 19:47:04'}
[01/Dec/2024 19:43:34] {'altitude': -0.3, 'instrument_released': 0, 'latitude': 38.9072, 'launched': 0, 'longitude': -77.0369, 'parachute_released': 0, 'pressure': 100765.4, 'target_altitude_reached': 0, 'temperature': 24.5, 'x_acceleration': 0, 'x_rotation': -1.1, 'y_acceleration': 0.1, 'y_rotation': 0.8, 'z_acceleration': 1.3, 'z_rotation': 1.2, 'replay_id': '7728802c81ec4a1d989435ba12b35a5e', 'final_timestamp': '01/Dec/2024 19:47:04'}
[01/Dec/2024 19:43:34] {'altitude': -0.6, 'instrument_released': 0, 'latitude': 38.9072, 'launched': 0, 'longitude': -77.0369, 'parachute_released': 0, 'pressure': 100766.4, 'target_altitude_reached': 0, 'temperature': 24.5, 'x_acceleration': 0, 'x_rotation': -1.4, 'y_acceleration': 0, 'y_rotation': 0.8, 'z_acceleration': 1.2, 'z_rotation': 0.9, 'replay_id': '7728802c81ec4a1d989435ba12b35a5e', 'final_timestamp': '01/Dec/2024 19:47:04'}
[01/Dec/2024 19:43:35] {'altitude': -0.4, 'instrument_released': 0, 'latitude': 38.9072, 'launched': 0, 'longitude': -77.0369, 'parachute_released': 0, 'pressure': 100766.5, 'target_altitude_reached': 0, 'temperature': 24.5, 'x_acceleration': 0, 'x_rotation': -1.1, 'y_acceleration': 0, 'y_rotation': 0.8, 'z_acceleration': 1.2, 'z_rotation': 0.9, 'replay_id': '7728802c81ec4a1d989435ba12b35a5e', 'final_timestamp': '01/Dec/2024 19:47:04'}
[01/Dec/2024 19:43:35] {'altitude': 0, 'instrument_released': 0, 'latitude': 38.9072, 'launched': 0, 'longitude': -77.0369, 'parachute_released': 0, 'pressure': 100764.4, 'target_altitude_reached': 0, 'temperature': 24.5, 'x_acceleration': 0, 'x_rotation': -1.2, 'y_acceleration': 0.1, 'y_rotation': 0.9, 'z_acceleration': 1.2, 'z_rotation': 1, 'replay_id': '7728802c81ec4a1d989435ba12b35a5e', 'final_timestamp': '01/Dec/2024 19:47:04'}
[01/Dec/2024 19:43:36] {'altitude': 0.1, 'instrument_released': 0, 'latitude': 38.9072, 'launched': 0, 'longitude': -77.0369, 'parachute_released': 0, 'pressure': 100763.7, 'target_altitude_reached': 0, 'temperature': 24.5, 'x_acceleration': 0, 'x_rotation': -1.5, 'y_acceleration': 0.1, 'y_rotation': 0.7, 'z_acceleration': 1.3, 'z_rotation': 1.1, 'replay_id': '7728802c81ec4a1d989435ba12b35a5e', 'final_timestamp': '01/Dec/2024 19:47:04'}
[01/Dec/2024 19:43:41] {'altitude': -0.4, 'instrument_released': 0, 'latitude': 38.9072, 'launched': 0, 'longitude': -77.0369, 'parachute_released': 0, 'pressure': 100765.7, 'target_altitude_reached': 0, 'temperature': 24.5, 'x_acceleration': 0, 'x_rotation': -1.3, 'y_acceleration': 0.1, 'y_rotation': 0.6, 'z_acceleration': 1.3, 'z_rotation': 1.3, 'replay_id': '7728802c81ec4a1d989435ba12b35a5e', 'final_timestamp': '01/Dec/2024 19:47:04'}
[01/Dec/2024 19:43:42] {'altitude': -0.1, 'instrument_released': 0, 'latitude': 38.9072, 'launched': 0, 'longitude': -77.0369, 'parachute_released': 0, 'pressure': 100764.6, 'target_altitude_reached': 0, 'temperature': 24.5, 'x_acceleration': 0, 'x_rotation': -1.3, 'y_acceleration': 0, 'y_rotation': 0.7, 'z_acceleration': 1.2, 'z_rotation': 1.1, 'replay_id': '7728802c81ec4a1d989435ba12b35a5e', 'final_timestamp': '01/Dec/2024 19:47:04'}
