[02/Jan/2026 17:56:31] {'acceleration': {'x': 0.024, 'y': -0.054, 'z': 1.085}, 'altitude': 5.02, 'latitude': 38.83595, 'longitude': -77.40504, 'temperature': 28.58, 'voltage': 7.4, 'replay_id': '7b1a2de860504fce9289e25d486cd29a', 'final_timestamp': '02/Jan/2026 18:19:40'}
[02/Jan/2026 17:56:49] {'acceleration': {'x': 0.025, 'y': -0.052, 'z': 1.088}, 'altitude': 4.78, 'latitude': 38.83592, 'longitude': -77.40504, 'temperature': 28.81, 'voltage': 7.4, 'replay_id': '7b1a2de860504fce9289e25d486cd29a', 'final_timestamp': '02/Jan/2026 18:19:40'}
[02/Jan/2026 17:56:53] {'acceleration': {'x': 0.028, 'y': -0.054, 'z': 1.095}, 'altitude': 3.85, 'latitude': 38.83591, 'longitude': -77.40504, 'temperature': 28.85, 'voltage': 7.4, 'replay_id': '7b1a2de860504fce9289e25d486cd29a', 'final_timestamp': '02/Jan/2026 18:19:40'}
[02/Jan/2026 17:56:57] {'acceleration': {'x': 0.025, 'y': -0.054, 'z': 1.091}, 'altitude': 3.89, 'latitude': 38.83591, 'longitude': -77.40504, 'temperature': 28.88, 'voltage': 7.4, 'replay_id': '7b1a2de860504fce9289e25d486cd29a', 'final_timestamp': '02/Jan/2026 18:19:40'}
[02/Jan/2026 17:57:01] {'acceleration': {'x': 0.021, 'y': -0.054, 'z': 1.091}, 'altitude': 4.33, 'latitude': 38.8359, 'longitude': -77.40504, 'temperature': 28.91, 'voltage': 7.4, 'replay_id': '7b1a2de860504fce9289e25d486cd29a', 'final_timestamp': '02/Jan/2026 18:19:40'}
[02/Jan/2026 17:57:12] {'acceleration': {'x': 0.026, 'y': -0.053, 'z': 1.09}, 'altitude': 3.88, 'latitude': 38.83588, 'longitude': -77.40504, 'temperature': 29, 'voltage': 7.4, 'replay_id': '7b1a2de860504fce9289e25d486cd29a', 'final_timestamp': '02/Jan/2026 18:19:40'}
[02/Jan/2026 17:57:26] {'acceleration': {'x': 0.022, 'y': -0.057, 'z': 1.088}, 'altitude': 3.99, 'latitude': 38.83587, 'longitude': -77.40503, 'temperature': 29.09, 'voltage': 7.4, 'replay_id': '7b1a2de860504fce9289e25d486cd29a', 'final_timestamp': '02/Jan/2026 18:19:40'}
[02/Jan/2026 17:57:30] {'acceleration': {'x': 0.026, 'y': -0.056, 'z': 1.096}, 'altitude': 3.84, 'latitude': 38.83587, 'longitude': -77.40502, 'temperature': 29.12, 'voltage': 7.4, 'replay_id': '7b1a2de860504fce9289e25d486cd29a', 'final_timestamp': '02/Jan/2026 18:19:40'}
[02/Jan/2026 17:57:34] {'acceleration': {'x': 0.024, 'y': -0.048, 'z': 1.095}, 'altitude': 3.13, 'latitude': 38.83587, 'longitude': -77.40502, 'temperature': 29.15, 'voltage': 7.4, 'replay_id': '7b1a2de860504fce9289e25d486cd29a', 'final_timestamp': '02/Jan/2026 18:19:40'}
[02/Jan/2026 17:58:41] {'acceleration': {'x': -0.124, 'y': -0.272, 'z': 1.089}, 'altitude': 3.93, 'latitude': 38.8359, 'longitude': -77.40498, 'temperature': 29.16, 'voltage': 7.4, 'replay_id': '7b1a2de860504fce9289e25d486cd29a', 'final_timestamp': '02/Jan/2026 18:19:40'}
[02/Jan/2026 17:58:43] {'acceleration': {'x': -0.104, 'y': -0.193, 'z': 0.867}, 'altitude': 4.36, 'latitude': 38.83591, 'longitude': -77.40498, 'temperature': 29.05, 'voltage': 7.4, 'replay_id': '7b1a2de860504fce9289e25d486cd29a', 'final_timestamp': '02/Jan/2026 18:19:40'}
