[19/Nov/2024 19:15:48] {'altitude': -0.1, 'instrument_released': 0, 'latitude': 0, 'launched': 0, 'longitude': 0, 'parachute_released': 0, 'pressure': 99961.8, 'target_altitude_reached': 0, 'temperature': 22.1, 'x_rotation': -1, 'y_rotation': 2, 'z_rotation': -34, 'replay_id': 'ec8add2e84b24411bde58bbfadf010af', 'final_timestamp': '19/Nov/2024 19:43:55'}
[19/Nov/2024 19:15:48] {'altitude': -0.2, 'instrument_released': 0, 'latitude': 0, 'launched': 0, 'longitude': 0, 'parachute_released': 0, 'pressure': 99962.5, 'target_altitude_reached': 0, 'temperature': 22.1, 'x_rotation': -1, 'y_rotation': 2, 'z_rotation': -34, 'replay_id': 'ec8add2e84b24411bde58bbfadf010af', 'final_timestamp': '19/Nov/2024 19:43:55'}
[19/Nov/2024 19:15:49] {'altitude': -0.2, 'instrument_released': 0, 'latitude': 0, 'launched': 0, 'longitude': 0, 'parachute_released': 0, 'pressure': 99962.8, 'target_altitude_reached': 0, 'temperature': 22.1, 'x_rotation': -1, 'y_rotation': 2, 'z_rotation': -34, 'replay_id': 'ec8add2e84b24411bde58bbfadf010af', 'final_timestamp': '19/Nov/2024 19:43:55'}
[19/Nov/2024 19:15:49] {'altitude': -0.3, 'instrument_released': 0, 'latitude': 0, 'launched': 0, 'longitude': 0, 'parachute_released': 0, 'pressure': 99963.7, 'target_altitude_reached': 0, 'temperature': 22.1, 'x_rotation': -1, 'y_rotation': 2, 'z_rotation': -34, 'replay_id': 'ec8add2e84b24411bde58bbfadf010af', 'final_timestamp': '19/Nov/2024 19:43:55'}
[19/Nov/2024 19:15:50] {'altitude': -0.2, 'instrument_released': None, 'latitude': 0, 'launched': None, 'longitude': 0, 'parachute_released': None, 'pressure': 99962.3, 'target_altitude_reached': None, 'temperature': None, 'x_rotation': None, 'y_rotation': None, 'z_rotation': None, 'replay_id': 'ec8add2e84b24411bde58bbfadf010af', 'final_timestamp': '19/Nov/2024 19:43:55'}
[19/Nov/2024 19:15:50] {'altitude': -0.1, 'instrument_released': 0, 'latitude': 0, 'launched': 0, 'longitude': 0, 'parachute_released': 0, 'pressure': 99961.7, 'target_altitude_reached': 0, 'temperature': 22.2, 'x_rotation': -1, 'y_rotation': 2, 'z_rotation': -34, 'replay_id': 'ec8add2e84b24411bde58bbfadf010af', 'final_timestamp': '19/Nov/2024 19:43:55'}
[19/Nov/2024 19:15:51] {'altitude': -0.1, 'instrument_released': 0, 'latitude': 0, 'launched': 0, 'longitude': 0, 'parachute_released': 0, 'pressure': 99961.1, 'target_altitude_reached': 0, 'temperature': 22.2, 'x_rotation': -1, 'y_rotation': 2, 'z_rotation': -34, 'replay_id': 'ec8add2e84b24411bde58bbfadf010af', 'final_timestamp': '19/Nov/2024 19:43:55'}
[19/Nov/2024 19:15:51] {'altitude': -0.1, 'instrument_released': 0, 'latitude': 0, 'launched': 0, 'longitude': 0, 'parachute_released': 0, 'pressure': 99961.9, 'target_altitude_reached': 0, 'temperature': 22.2, 'x_rotation': -1, 'y_rotation': 2, 'z_rotation': -34, 'replay_id': 'ec8add2e84b24411bde58bbfadf010af', 'final_timestamp': '19/Nov/2024 19:43:55'}
[19/Nov/2024 19:15:52] {'altitude': -0.1, 'instrument_released': 0, 'latitude': 0, 'launched': 0, 'longitude': 0, 'parachute_released': 0, 'pressure': 99961.9, 'target_altitude_reached': 0, 'temperature': 22.2, 'x_rotation': 0, 'y_rotation': 0, 'z_rotation': -33, 'replay_id': 'ec8add2e84b24411bde58bbfadf010af', 'final_timestamp': '19/Nov/2024 19:43:55'}
[19/Nov/2024 19:15:52] {'altitude': 0.1, 'instrument_released': 0, 'latitude': 0, 'launched': 0, 'longitude': 0, 'parachute_released': 0, 'pressure': 99959.8, 'target_altitude_reached': 0, 'temperature': 22.2, 'x_rotation': -12, 'y_rotation': 6, 'z_rotation': -29, 'replay_id': 'ec8add2e84b24411bde58bbfadf010af', 'final_timestamp': '19/Nov/2024 19:43:55'}
[19/Nov/2024 19:15:53] {'altitude': 0.3, 'instrument_released': 0, 'latitude': 0, 'launched': 0, 'longitude': 0, 'parachute_released': 0, 'pressure': 99956.5, 'target_altitude_reached': 0, 'temperature': 22.2, 'x_rotation': -13, 'y_rotation': 6, 'z_rotation': -31, 'replay_id': 'ec8add2e84b24411bde58bbfadf010af', 'final_timestamp': '19/Nov/2024 19:43:55'}
