[11/Nov/2024 19:05:18] {'latitude': 37.7749, 'longitude': -122.4194, 'altitude': 0, 'pressure': 1013.2, 'x_rotation': 10.5, 'y_rotation': 20.6, 'z_rotation': 30.7, 'temperature': 25.3, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[11/Nov/2024 19:05:21] {'latitude': 37.7749, 'longitude': -122.4194, 'altitude': 1000, 'pressure': 1013.2, 'x_rotation': 10.5, 'y_rotation': 20.6, 'z_rotation': 30.7, 'temperature': 25.3, 'launched': 1, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[11/Nov/2024 19:05:24] {'latitude': 37.7749, 'longitude': -122.4194, 'altitude': 990, 'pressure': 1013.2, 'x_rotation': 10.5, 'y_rotation': 20.6, 'z_rotation': 30.7, 'temperature': 25.3, 'launched': 1, 'target_altitude_reached': 1, 'parachute_released': 0, 'instrument_released': 0}
[11/Nov/2024 19:05:27] {'latitude': 37.7749, 'longitude': -122.4194, 'altitude': 850.5, 'pressure': 1013.2, 'x_rotation': 10.5, 'y_rotation': 20.6, 'z_rotation': 30.7, 'temperature': 25.3, 'launched': 1, 'target_altitude_reached': 1, 'parachute_released': 1, 'instrument_released': 0}
[11/Nov/2024 19:05:30] {'latitude': 37.7749, 'longitude': -122.4194, 'altitude': 10.5, 'pressure': 1013.2, 'x_rotation': 10.5, 'y_rotation': 20.6, 'z_rotation': 30.7, 'temperature': 25.3, 'launched': 1, 'target_altitude_reached': 1, 'parachute_released': 1, 'instrument_released': 1}
[11/Nov/2024 19:05:38] {'latitude': 37.7749, 'longitude': -122.4194, 'altitude': 0, 'pressure': 1013.2, 'x_rotation': 10.5, 'y_rotation': 20.6, 'z_rotation': 30.7, 'temperature': 25.3, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[11/Nov/2024 19:05:41] {'latitude': 37.7749, 'longitude': -122.4194, 'altitude': 1000, 'pressure': 1013.2, 'x_rotation': 10.5, 'y_rotation': 20.6, 'z_rotation': 30.7, 'temperature': 25.3, 'launched': 1, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[11/Nov/2024 19:05:44] {'latitude': 37.7749, 'longitude': -122.4194, 'altitude': 990, 'pressure': 1013.2, 'x_rotation': 10.5, 'y_rotation': 20.6, 'z_rotation': 30.7, 'temperature': 25.3, 'launched': 1, 'target_altitude_reached': 1, 'parachute_released': 0, 'instrument_released': 0}
[11/Nov/2024 19:05:47] {'latitude': 37.7749, 'longitude': -122.4194, 'altitude': 850.5, 'pressure': 1013.2, 'x_rotation': 10.5, 'y_rotation': 20.6, 'z_rotation': 30.7, 'temperature': 25.3, 'launched': 1, 'target_altitude_reached': 1, 'parachute_released': 1, 'instrument_released': 0}
[11/Nov/2024 19:05:50] {'latitude': 37.7749, 'longitude': -122.4194, 'altitude': 10.5, 'pressure': 1013.2, 'x_rotation': 10.5, 'y_rotation': 20.6, 'z_rotation': 30.7, 'temperature': 25.3, 'launched': 1, 'target_altitude_reached': 1, 'parachute_released': 1, 'instrument_released': 1}
[11/Nov/2024 19:05:51] {'latitude': 37.7749, 'longitude': -122.4194, 'altitude': 0, 'pressure': 1013.2, 'x_rotation': 10.5, 'y_rotation': 20.6, 'z_rotation': 30.7, 'temperature': 25.3, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[11/Nov/2024 19:05:54] {'latitude': 37.7749, 'longitude': -122.4194, 'altitude': 1000, 'pressure': 1013.2, 'x_rotation': 10.5, 'y_rotation': 20.6, 'z_rotation': 30.7, 'temperature': 25.3, 'launched': 1, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[11/Nov/2024 19:05:57] {'latitude': 37.7749, 'longitude': -122.4194, 'altitude': 990, 'pressure': 1013.2, 'x_rotation': 10.5, 'y_rotation': 20.6, 'z_rotation': 30.7, 'temperature': 25.3, 'launched': 1, 'target_altitude_reached': 1, 'parachute_released': 0, 'instrument_released': 0}
[11/Nov/2024 19:06:00] {'latitude': 37.7749, 'longitude': -122.4194, 'altitude': 850.5, 'pressure': 1013.2, 'x_rotation': 10.5, 'y_rotation': 20.6, 'z_rotation': 30.7, 'temperature': 25.3, 'launched': 1, 'target_altitude_reached': 1, 'parachute_released': 1, 'instrument_released': 0}
[11/Nov/2024 19:06:03] {'latitude': 37.7749, 'longitude': -122.4194, 'altitude': 10.5, 'pressure': 1013.2, 'x_rotation': 10.5, 'y_rotation': 20.6, 'z_rotation': 30.7, 'temperature': 25.3, 'launched': 1, 'target_altitude_reached': 1, 'parachute_released': 1, 'instrument_released': 1}
[11/Nov/2024 19:06:05] {'latitude': 37.7749, 'longitude': -122.4194, 'altitude': 0, 'pressure': 1013.2, 'x_rotation': 10.5, 'y_rotation': 20.6, 'z_rotation': 30.7, 'temperature': 25.3, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[11/Nov/2024 19:06:08] {'latitude': 37.7749, 'longitude': -122.4194, 'altitude': 1000, 'pressure': 1013.2, 'x_rotation': 10.5, 'y_rotation': 20.6, 'z_rotation': 30.7, 'temperature': 25.3, 'launched': 1, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
