[19/Nov/2024 19:15:48] {'latitude': 0, 'longitude': 0, 'altitude': -0.1, 'pressure': 99961.8, 'x_rotation': -1, 'y_rotation': 2, 'z_rotation': -34, 'temperature': 22.1, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[19/Nov/2024 19:15:48] {'latitude': 0, 'longitude': 0, 'altitude': -0.2, 'pressure': 99962.5, 'x_rotation': -1, 'y_rotation': 2, 'z_rotation': -34, 'temperature': 22.1, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[19/Nov/2024 19:15:49] {'latitude': 0, 'longitude': 0, 'altitude': -0.2, 'pressure': 99962.8, 'x_rotation': -1, 'y_rotation': 2, 'z_rotation': -34, 'temperature': 22.1, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[19/Nov/2024 19:15:49] {'latitude': 0, 'longitude': 0, 'altitude': -0.3, 'pressure': 99963.7, 'x_rotation': -1, 'y_rotation': 2, 'z_rotation': -34, 'temperature': 22.1, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[19/Nov/2024 19:15:50] {'latitude': 0, 'longitude': 0, 'altitude': -0.2, 'pressure': 99962.3, 'x_rotation': None, 'y_rotation': None, 'z_rotation': None, 'temperature': None, 'launched': None, 'target_altitude_reached': None, 'parachute_released': None, 'instrument_released': None}
[19/Nov/2024 19:15:50] {'latitude': 0, 'longitude': 0, 'altitude': -0.1, 'pressure': 99961.7, 'x_rotation': -1, 'y_rotation': 2, 'z_rotation': -34, 'temperature': 22.2, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[19/Nov/2024 19:15:51] {'latitude': 0, 'longitude': 0, 'altitude': -0.1, 'pressure': 99961.1, 'x_rotation': -1, 'y_rotation': 2, 'z_rotation': -34, 'temperature': 22.2, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[19/Nov/2024 19:15:51] {'latitude': 0, 'longitude': 0, 'altitude': -0.1, 'pressure': 99961.9, 'x_rotation': -1, 'y_rotation': 2, 'z_rotation': -34, 'temperature': 22.2, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[19/Nov/2024 19:15:52] {'latitude': 0, 'longitude': 0, 'altitude': -0.1, 'pressure': 99961.9, 'x_rotation': 0, 'y_rotation': 0, 'z_rotation': -33, 'temperature': 22.2, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[19/Nov/2024 19:15:52] {'latitude': 0, 'longitude': 0, 'altitude': 0.1, 'pressure': 99959.8, 'x_rotation': -12, 'y_rotation': 6, 'z_rotation': -29, 'temperature': 22.2, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[19/Nov/2024 19:15:53] {'latitude': 0, 'longitude': 0, 'altitude': 0.3, 'pressure': 99956.5, 'x_rotation': -13, 'y_rotation': 6, 'z_rotation': -31, 'temperature': 22.2, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[19/Nov/2024 19:15:53] {'latitude': 0, 'longitude': 0, 'altitude': 0.4, 'pressure': 99955.5, 'x_rotation': -10, 'y_rotation': 1, 'z_rotation': -34, 'temperature': 22.2, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[19/Nov/2024 19:15:54] {'latitude': 0, 'longitude': 0, 'altitude': 0.3, 'pressure': 99955.8, 'x_rotation': -2, 'y_rotation': 8, 'z_rotation': -33, 'temperature': 22.2, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[19/Nov/2024 19:15:54] {'latitude': 0, 'longitude': 0, 'altitude': 0.6, 'pressure': 99953.1, 'x_rotation': None, 'y_rotation': None, 'z_rotation': None, 'temperature': None, 'launched': None, 'target_altitude_reached': None, 'parachute_released': None, 'instrument_released': None}
[19/Nov/2024 19:15:55] {'latitude': 0, 'longitude': 0, 'altitude': 0.6, 'pressure': 99953.5, 'x_rotation': 11, 'y_rotation': 28, 'z_rotation': -15, 'temperature': 22.2, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[19/Nov/2024 19:15:55] {'latitude': 0, 'longitude': 0, 'altitude': 0.8, 'pressure': 99951, 'x_rotation': 3, 'y_rotation': 29, 'z_rotation': -23, 'temperature': 22.3, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[19/Nov/2024 19:15:56] {'latitude': 0, 'longitude': 0, 'altitude': 0.7, 'pressure': 99951.9, 'x_rotation': 4, 'y_rotation': 31, 'z_rotation': -16, 'temperature': 22.3, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[19/Nov/2024 19:15:56] {'latitude': 0, 'longitude': 0, 'altitude': 0.8, 'pressure': 99951.4, 'x_rotation': 1, 'y_rotation': 27, 'z_rotation': -20, 'temperature': 22.3, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[19/Nov/2024 19:15:57] {'latitude': 0, 'longitude': 0, 'altitude': 0.6, 'pressure': 99953.7, 'x_rotation': -3, 'y_rotation': 5, 'z_rotation': -31, 'temperature': 22.3, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[19/Nov/2024 19:15:57] {'latitude': 0, 'longitude': 0, 'altitude': 0.1, 'pressure': 99958.7, 'x_rotation': -45, 'y_rotation': -2, 'z_rotation': -16, 'temperature': 22.3, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[19/Nov/2024 19:15:58] {'latitude': 0, 'longitude': 0, 'altitude': -0.1, 'pressure': 99962.1, 'x_rotation': -25, 'y_rotation': 14, 'z_rotation': 2, 'temperature': 22.3, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[19/Nov/2024 19:15:58] {'latitude': 0, 'longitude': 0, 'altitude': -0.3, 'pressure': 99964, 'x_rotation': 25, 'y_rotation': 25, 'z_rotation': -1, 'temperature': 22.3, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[19/Nov/2024 19:15:59] {'latitude': 0, 'longitude': 0, 'altitude': -0.6, 'pressure': 99967.6, 'x_rotation': None, 'y_rotation': None, 'z_rotation': None, 'temperature': None, 'launched': None, 'target_altitude_reached': None, 'parachute_released': None, 'instrument_released': None}
[19/Nov/2024 19:15:59] {'latitude': 0, 'longitude': 0, 'altitude': -0.7, 'pressure': 99968.6, 'x_rotation': 29, 'y_rotation': 10, 'z_rotation': -5, 'temperature': 22.3, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[19/Nov/2024 19:16:00] {'latitude': 0, 'longitude': 0, 'altitude': -0.7, 'pressure': 99968.7, 'x_rotation': 29, 'y_rotation': 8, 'z_rotation': -1, 'temperature': 22.3, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
