[21/Nov/2024 19:15:00] {'latitude': 34.0522, 'longitude': -118.2437, 'altitude': 0.0, 'pressure': 101325.0, 'x_rotation': 0, 'y_rotation': 0, 'z_rotation': 0, 'temperature': 15.0, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[21/Nov/2024 19:15:01] {'latitude': 34.0523, 'longitude': -118.2436, 'altitude': 10.0, 'pressure': 100500.0, 'x_rotation': -1, 'y_rotation': 2, 'z_rotation': 1, 'temperature': 14.9, 'launched': 1, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[21/Nov/2024 19:15:02] {'latitude': 34.0524, 'longitude': -118.2435, 'altitude': 30.0, 'pressure': 99000.0, 'x_rotation': -2, 'y_rotation': 3, 'z_rotation': 5, 'temperature': 14.8, 'launched': 1, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[21/Nov/2024 19:15:03] {'latitude': 34.0525, 'longitude': -118.2434, 'altitude': 50.0, 'pressure': 97000.0, 'x_rotation': -3, 'y_rotation': 4, 'z_rotation': 8, 'temperature': 14.6, 'launched': 1, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[21/Nov/2024 19:15:04] {'latitude': 34.0526, 'longitude': -118.2433, 'altitude': 80.0, 'pressure': 95000.0, 'x_rotation': -4, 'y_rotation': 5, 'z_rotation': 12, 'temperature': 14.5, 'launched': 1, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[21/Nov/2024 19:15:05] {'latitude': 34.0527, 'longitude': -118.2432, 'altitude': 150.0, 'pressure': 90000.0, 'x_rotation': -5, 'y_rotation': 6, 'z_rotation': 15, 'temperature': 14.0, 'launched': 1, 'target_altitude_reached': 1, 'parachute_released': 0, 'instrument_released': 0}
[21/Nov/2024 19:15:06] {'latitude': 34.0528, 'longitude': -118.2431, 'altitude': 200.0, 'pressure': 85000.0, 'x_rotation': -3, 'y_rotation': 5, 'z_rotation': 12, 'temperature': 13.8, 'launched': 1, 'target_altitude_reached': 1, 'parachute_released': 0, 'instrument_released': 0}
[21/Nov/2024 19:15:07] {'latitude': 34.0529, 'longitude': -118.2430, 'altitude': 300.0, 'pressure': 80000.0, 'x_rotation': -2, 'y_rotation': 3, 'z_rotation': 10, 'temperature': 13.5, 'launched': 1, 'target_altitude_reached': 1, 'parachute_released': 0, 'instrument_released': 0}
[21/Nov/2024 19:15:08] {'latitude': 34.0530, 'longitude': -118.2429, 'altitude': 400.0, 'pressure': 75000.0, 'x_rotation': 0, 'y_rotation': 2, 'z_rotation': 8, 'temperature': 13.2, 'launched': 1, 'target_altitude_reached': 1, 'parachute_released': 0, 'instrument_released': 1}
[21/Nov/2024 19:15:09] {'latitude': 34.0531, 'longitude': -118.2428, 'altitude': 500.0, 'pressure': 70000.0, 'x_rotation': 1, 'y_rotation': 1, 'z_rotation': 5, 'temperature': 13.0, 'launched': 1, 'target_altitude_reached': 1, 'parachute_released': 1, 'instrument_released': 1}
[21/Nov/2024 19:15:10] {'latitude': 34.0532, 'longitude': -118.2427, 'altitude': 600.0, 'pressure': 65000.0, 'x_rotation': 2, 'y_rotation': 0, 'z_rotation': 3, 'temperature': 12.8, 'launched': 1, 'target_altitude_reached': 1, 'parachute_released': 1, 'instrument_released': 1}
