[23/Nov/2024 12:10:48] {'latitude': 38.9072, 'longitude': -77.0369, 'altitude': -0.7, 'pressure': 99621.9, 'x_rotation': 0.4, 'y_rotation': 0.5, 'z_rotation': 1, 'temperature': 24.4, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[23/Nov/2024 12:10:48] {'latitude': 38.9072, 'longitude': -77.0369, 'altitude': -0.6, 'pressure': 99621.6, 'x_rotation': 0.4, 'y_rotation': 0.5, 'z_rotation': 1.1, 'temperature': 24.4, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[23/Nov/2024 12:10:49] {'latitude': 38.9072, 'longitude': -77.0369, 'altitude': -0.4, 'pressure': 99619.9, 'x_rotation': 0.3, 'y_rotation': 0.5, 'z_rotation': 1.1, 'temperature': 24.3, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[23/Nov/2024 12:10:50] {'latitude': 38.9072, 'longitude': -77.0369, 'altitude': -0.7, 'pressure': 99621.8, 'x_rotation': 0.1, 'y_rotation': 0.6, 'z_rotation': 1.1, 'temperature': 24.3, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[23/Nov/2024 12:10:50] {'latitude': 38.9072, 'longitude': -77.0369, 'altitude': -0.7, 'pressure': 99622.7, 'x_rotation': 0.2, 'y_rotation': 0.4, 'z_rotation': 1.3, 'temperature': 24.3, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[23/Nov/2024 12:10:51] {'latitude': 38.9072, 'longitude': -77.0369, 'altitude': -0.8, 'pressure': 99623.6, 'x_rotation': -0.1, 'y_rotation': 0.5, 'z_rotation': 1.3, 'temperature': 24.3, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[23/Nov/2024 12:10:52] {'latitude': 38.9072, 'longitude': -77.0369, 'altitude': -0.8, 'pressure': 99623.1, 'x_rotation': 0, 'y_rotation': 0.7, 'z_rotation': 1, 'temperature': 24.2, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[23/Nov/2024 12:10:52] {'latitude': 38.9072, 'longitude': -77.0369, 'altitude': -0.5, 'pressure': 99619.1, 'x_rotation': -0.5, 'y_rotation': 1.1, 'z_rotation': 1.1, 'temperature': 24.2, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[23/Nov/2024 12:10:53] {'latitude': 38.9072, 'longitude': -77.0369, 'altitude': -0.2, 'pressure': 99616.2, 'x_rotation': -0.3, 'y_rotation': 0.8, 'z_rotation': 0, 'temperature': 24.1, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[23/Nov/2024 12:10:53] {'latitude': 38.9072, 'longitude': -77.0369, 'altitude': -0.1, 'pressure': 99615.5, 'x_rotation': 0.6, 'y_rotation': 0.9, 'z_rotation': 0.6, 'temperature': 24.1, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[23/Nov/2024 12:10:54] {'latitude': 38.9072, 'longitude': -77.0369, 'altitude': 0.1, 'pressure': 99612.9, 'x_rotation': 0.3, 'y_rotation': 1.1, 'z_rotation': 0.3, 'temperature': 24, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
