[01/Dec/2024 19:43:28] {'latitude': 38.9072, 'longitude': -77.0369, 'altitude': -0.5, 'pressure': 100766.2, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 1.3, 'x_rotation': -0.7, 'y_rotation': 0.8, 'z_rotation': 1.1, 'temperature': 24.5, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[01/Dec/2024 19:43:29] {'latitude': 38.9072, 'longitude': -77.0369, 'altitude': -0.2, 'pressure': 100764.8, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 1.3, 'x_rotation': -1.3, 'y_rotation': 0.8, 'z_rotation': 0.9, 'temperature': 24.5, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[01/Dec/2024 19:43:29] {'latitude': 38.9072, 'longitude': -77.0369, 'altitude': -0.3, 'pressure': 100766.2, 'x_acceleration': 0, 'y_acceleration': 0.1, 'z_acceleration': 1.2, 'x_rotation': -1.2, 'y_rotation': 0.7, 'z_rotation': 1.3, 'temperature': 24.5, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[01/Dec/2024 19:43:30] {'latitude': 38.9072, 'longitude': -77.0369, 'altitude': -0.5, 'pressure': 100766.2, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 1.2, 'x_rotation': -1.5, 'y_rotation': 0.8, 'z_rotation': 1.1, 'temperature': 24.5, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[01/Dec/2024 19:43:31] {'latitude': 38.9072, 'longitude': -77.0369, 'altitude': -0.9, 'pressure': 100767.6, 'x_acceleration': 0, 'y_acceleration': 0.1, 'z_acceleration': 1.2, 'x_rotation': -1.3, 'y_rotation': 0.8, 'z_rotation': 1, 'temperature': 24.5, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[01/Dec/2024 19:43:32] {'latitude': 38.9072, 'longitude': -77.0369, 'altitude': -0.2, 'pressure': 100765.5, 'x_acceleration': 0, 'y_acceleration': 0.1, 'z_acceleration': 1.3, 'x_rotation': -1.2, 'y_rotation': 0.8, 'z_rotation': 1, 'temperature': 24.5, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[01/Dec/2024 19:43:32] {'latitude': 38.9072, 'longitude': -77.0369, 'altitude': -0.2, 'pressure': 100764.8, 'x_acceleration': 0, 'y_acceleration': 0.1, 'z_acceleration': 1.3, 'x_rotation': -1.5, 'y_rotation': 0.9, 'z_rotation': 1, 'temperature': 24.5, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[01/Dec/2024 19:43:33] {'latitude': 38.9072, 'longitude': -77.0369, 'altitude': 0.2, 'pressure': 100763.4, 'x_acceleration': 0, 'y_acceleration': 0.1, 'z_acceleration': 1.3, 'x_rotation': -1.6, 'y_rotation': 0.7, 'z_rotation': 1.9, 'temperature': 24.5, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[01/Dec/2024 19:43:34] {'latitude': 38.9072, 'longitude': -77.0369, 'altitude': -0.3, 'pressure': 100765.4, 'x_acceleration': 0, 'y_acceleration': 0.1, 'z_acceleration': 1.3, 'x_rotation': -1.1, 'y_rotation': 0.8, 'z_rotation': 1.2, 'temperature': 24.5, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[01/Dec/2024 19:43:34] {'latitude': 38.9072, 'longitude': -77.0369, 'altitude': -0.6, 'pressure': 100766.4, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 1.2, 'x_rotation': -1.4, 'y_rotation': 0.8, 'z_rotation': 0.9, 'temperature': 24.5, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[01/Dec/2024 19:43:35] {'latitude': 38.9072, 'longitude': -77.0369, 'altitude': -0.4, 'pressure': 100766.5, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 1.2, 'x_rotation': -1.1, 'y_rotation': 0.8, 'z_rotation': 0.9, 'temperature': 24.5, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
