[11/Mar/2025 20:04:26] {'latitude': 38.8807, 'longitude': -77.4056, 'altitude': 0, 'pressure': 0, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0, 'x_rotation': 0, 'y_rotation': 0, 'z_rotation': 0, 'temperature': 0, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[11/Mar/2025 20:04:27] {'latitude': 38.8807, 'longitude': -77.4056, 'altitude': 0, 'pressure': 0, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0, 'x_rotation': 0, 'y_rotation': 0, 'z_rotation': 0, 'temperature': 0, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[11/Mar/2025 20:04:27] {'latitude': 38.8807, 'longitude': -77.4056, 'altitude': 0, 'pressure': 0, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0, 'x_rotation': 0, 'y_rotation': 0, 'z_rotation': 0, 'temperature': 0, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[11/Mar/2025 20:04:28] {'latitude': 38.8807, 'longitude': -77.4056, 'altitude': 0, 'pressure': 0, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0, 'x_rotation': 0, 'y_rotation': 0, 'z_rotation': 0, 'temperature': 0, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[11/Mar/2025 20:04:29] {'latitude': 38.8807, 'longitude': -77.4056, 'altitude': 0, 'pressure': 0, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0, 'x_rotation': 0, 'y_rotation': 0, 'z_rotation': 0, 'temperature': 0, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[11/Mar/2025 20:04:30] {'latitude': 38.8807, 'longitude': -77.4056, 'altitude': 0, 'pressure': 0, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0, 'x_rotation': 0, 'y_rotation': 0, 'z_rotation': 0, 'temperature': 0, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[11/Mar/2025 20:04:30] {'latitude': 38.8807, 'longitude': -77.4056, 'altitude': 0, 'pressure': 0, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0, 'x_rotation': 0, 'y_rotation': 0, 'z_rotation': 0, 'temperature': 0, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[11/Mar/2025 20:04:31] {'latitude': 38.8807, 'longitude': -77.4056, 'altitude': 0, 'pressure': 0, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0, 'x_rotation': 0, 'y_rotation': 0, 'z_rotation': 0, 'temperature': 0, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[11/Mar/2025 20:04:32] {'latitude': 38.8807, 'longitude': -77.4056, 'altitude': 0, 'pressure': 0, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0, 'x_rotation': 0, 'y_rotation': 0, 'z_rotation': 0, 'temperature': 0, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[11/Mar/2025 20:04:33] {'latitude': 38.8807, 'longitude': -77.4056, 'altitude': 0, 'pressure': 0, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0, 'x_rotation': 0, 'y_rotation': 0, 'z_rotation': 0, 'temperature': 0, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[11/Mar/2025 20:04:34] {'latitude': 38.8807, 'longitude': -77.4056, 'altitude': 0, 'pressure': 0, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0, 'x_rotation': 0, 'y_rotation': 0, 'z_rotation': 0, 'temperature': 0, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
