[29/Mar/2025 20:31:53] {'latitude': 38.8359, 'longitude': -77.405, 'altitude': -0.3, 'pressure': 100475.6, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0, 'x_rotation': -1.4, 'y_rotation': 0.8, 'z_rotation': 1.1, 'temperature': 25.9, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[29/Mar/2025 20:31:54] {'latitude': 38.8359, 'longitude': -77.405, 'altitude': 0.5, 'pressure': 100473.4, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0, 'x_rotation': -1.4, 'y_rotation': 0.8, 'z_rotation': 1, 'temperature': 25.9, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[29/Mar/2025 20:32:00] {'latitude': 38.8359, 'longitude': -77.405, 'altitude': 0.3, 'pressure': 100474, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0, 'x_rotation': -1.4, 'y_rotation': 0.9, 'z_rotation': 1.1, 'temperature': 25.9, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[29/Mar/2025 20:32:06] {'latitude': 38.8359, 'longitude': -77.405, 'altitude': 0.1, 'pressure': 100475.6, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0, 'x_rotation': -1.2, 'y_rotation': 0.8, 'z_rotation': 1.1, 'temperature': 25.9, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[29/Mar/2025 20:32:13] {'latitude': 38.8359, 'longitude': -77.405, 'altitude': -0.4, 'pressure': 100476.6, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0, 'x_rotation': -1.3, 'y_rotation': 0.8, 'z_rotation': 1.1, 'temperature': 25.9, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[29/Mar/2025 20:32:14] {'latitude': 38.8359, 'longitude': -77.405, 'altitude': -0.6, 'pressure': 100476.6, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0, 'x_rotation': -2, 'y_rotation': -0.2, 'z_rotation': 1.2, 'temperature': 25.9, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[29/Mar/2025 20:32:17] {'latitude': 38.8359, 'longitude': -77.405, 'altitude': -0.2, 'pressure': 100476.1, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0, 'x_rotation': -1.2, 'y_rotation': 1.1, 'z_rotation': 0.8, 'temperature': 25.9, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[29/Mar/2025 20:32:21] {'latitude': 38.8359, 'longitude': -77.405, 'altitude': -0.7, 'pressure': 100478.5, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0, 'x_rotation': -1.3, 'y_rotation': 0.6, 'z_rotation': 1.1, 'temperature': 26, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[29/Mar/2025 20:32:28] {'latitude': 38.8359, 'longitude': -77.405, 'altitude': -0.3, 'pressure': 100476.2, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0, 'x_rotation': -1.3, 'y_rotation': 0.8, 'z_rotation': 1.3, 'temperature': 26, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[29/Mar/2025 20:32:29] {'latitude': 38.8359, 'longitude': -77.405, 'altitude': -0.1, 'pressure': 100475, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0, 'x_rotation': -1.3, 'y_rotation': 0.8, 'z_rotation': 1.1, 'temperature': 26, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
[29/Mar/2025 20:32:31] {'latitude': 38.8359, 'longitude': -77.405, 'altitude': -0.4, 'pressure': 100475.9, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0, 'x_rotation': -1.3, 'y_rotation': 0.7, 'z_rotation': 1.1, 'temperature': 26, 'launched': 0, 'target_altitude_reached': 0, 'parachute_released': 0, 'instrument_released': 0}
