[09/Dec/2025 20:37:38] {'voltage': 0, 'altitude': 0.85, 'temperature': 22.33, 'acceleration': {'z': 0, 'y': 0, 'x': 0}}
[09/Dec/2025 20:37:53] {'voltage': 0, 'altitude': 0.75, 'temperature': 22.34, 'acceleration': {'z': 0, 'y': 0, 'x': 0}}
[09/Dec/2025 20:38:08] {'voltage': 0, 'altitude': 1.01, 'temperature': 22.36, 'acceleration': {'z': 0, 'y': 0, 'x': 0}}
[09/Dec/2025 20:38:20] {'voltage': 0, 'altitude': 1.6, 'temperature': 22.38, 'acceleration': {'z': 0, 'y': 0, 'x': 0}}
[09/Dec/2025 20:39:43] {'voltage': 0, 'altitude': 0.63, 'temperature': 22.29, 'acceleration': {'z': 0, 'y': 0, 'x': 0}}
[09/Dec/2025 20:40:00] {'voltage': 0, 'altitude': 0.55, 'temperature': 22.5, 'acceleration': {'z': 0, 'y': 0, 'x': 0}}
[09/Dec/2025 20:40:17] {'voltage': 0, 'altitude': 0.03, 'temperature': 22.77, 'acceleration': {'z': 0, 'y': 0, 'x': 0}}
[09/Dec/2025 20:40:35] {'voltage': 0, 'altitude': 1.4, 'temperature': 23.07, 'acceleration': {'z': 0, 'y': 0, 'x': 0}}
[09/Dec/2025 20:40:47] {'voltage': 0, 'altitude': 2.36, 'temperature': 23.2, 'acceleration': {'z': 0, 'y': 0, 'x': 0}}
[09/Dec/2025 20:41:12] {'voltage': 0, 'altitude': 3.68, 'temperature': 23.54, 'acceleration': {'z': 0, 'y': 0, 'x': 0}}
[09/Dec/2025 20:41:37] {'voltage': 0, 'altitude': 3.22, 'temperature': 23.94, 'acceleration': {'z': 0, 'y': 0, 'x': 0}}
[09/Dec/2025 20:41:47] {'voltage': 0, 'altitude': 4.99, 'temperature': 24.09, 'acceleration': {'z': 0, 'y': 0, 'x': 0}}
[09/Dec/2025 20:41:57] {'voltage': 0, 'altitude': 3.92, 'temperature': 24.17, 'acceleration': {'z': 0, 'y': 0, 'x': 0}}
[09/Dec/2025 20:42:08] {'voltage': 0, 'altitude': 3.96, 'temperature': 24.29, 'acceleration': {'z': 0, 'y': 0, 'x': 0}}
[09/Dec/2025 20:42:23] {'voltage': 0, 'altitude': 5.85, 'temperature': 24.39, 'acceleration': {'z': 0, 'y': 0, 'x': 0}}
[09/Dec/2025 20:42:38] {'voltage': 0, 'altitude': 5.7, 'temperature': 24.54, 'acceleration': {'z': 0, 'y': 0, 'x': 0}}
[09/Dec/2025 20:42:53] {'voltage': 0, 'altitude': 6.31, 'temperature': 24.67, 'acceleration': {'z': 0, 'y': 0, 'x': 0}}
[09/Dec/2025 20:43:08] {'voltage': 0, 'altitude': 6.72, 'temperature': 24.75, 'acceleration': {'z': 0, 'y': 0, 'x': 0}}
[09/Dec/2025 20:43:23] {'voltage': 0, 'altitude': 6.87, 'temperature': 24.82, 'acceleration': {'z': 0, 'y': 0, 'x': 0}}
[09/Dec/2025 20:43:38] {'voltage': 0, 'altitude': 7.25, 'temperature': 24.89, 'acceleration': {'z': 0, 'y': 0, 'x': 0}}
[09/Dec/2025 20:43:53] {'voltage': 0, 'altitude': 6.6, 'temperature': 24.94, 'acceleration': {'z': 0, 'y': 0, 'x': 0}}
[09/Dec/2025 20:44:08] {'voltage': 0, 'altitude': 7.19, 'temperature': 24.97, 'acceleration': {'z': 0, 'y': 0, 'x': 0}}
[09/Dec/2025 20:44:24] {'voltage': 0, 'altitude': 7.47, 'temperature': 24.98, 'acceleration': {'z': 0, 'y': 0, 'x': 0}}
[09/Dec/2025 20:44:52] {'voltage': 0, 'altitude': 8.42, 'temperature': 25.08, 'acceleration': {'z': 0, 'y': 0, 'x': 0}}
[09/Dec/2025 20:45:04] {'voltage': 0, 'altitude': 8.76, 'temperature': 25.08, 'acceleration': {'z': 0, 'y': 0, 'x': 0}}
[09/Dec/2025 20:45:16] {'voltage': 0, 'altitude': 9.01, 'temperature': 25.14, 'acceleration': {'z': 0, 'y': 0, 'x': 0}}
[09/Dec/2025 20:45:25] {'voltage': 0, 'altitude': 8.49, 'temperature': 25.16, 'acceleration': {'z': 0, 'y': 0, 'x': 0}}
[09/Dec/2025 20:45:33] {'voltage': 0, 'altitude': 9.21, 'temperature': 25.17, 'acceleration': {'z': 0, 'y': 0, 'x': 0}}
[09/Dec/2025 20:45:42] {'voltage': 0, 'altitude': 8.5, 'temperature': 25.19, 'acceleration': {'z': 0, 'y': 0, 'x': 0}}
[09/Dec/2025 20:45:52] {'voltage': 0, 'altitude': 8.89, 'temperature': 25.22, 'acceleration': {'z': 0, 'y': 0, 'x': 0}}
[09/Dec/2025 20:46:03] {'voltage': 0, 'altitude': 8.16, 'temperature': 25.29, 'acceleration': {'z': 0, 'y': 0, 'x': 0}}
[09/Dec/2025 20:46:13] {'voltage': 0, 'altitude': 8.94, 'temperature': 25.35, 'acceleration': {'z': 0, 'y': 0, 'x': 0}}
[09/Dec/2025 20:46:22] {'voltage': 0, 'altitude': 8.6, 'temperature': 25.38, 'acceleration': {'z': 0, 'y': 0, 'x': 0}}
[09/Dec/2025 20:46:33] {'voltage': 0, 'altitude': 8.3, 'temperature': 25.37, 'acceleration': {'z': 0, 'y': 0, 'x': 0}}
[09/Dec/2025 20:46:51] {'voltage': 0, 'altitude': 8.79, 'temperature': 25.31, 'acceleration': {'z': 0, 'y': 0, 'x': 0}}
[09/Dec/2025 20:47:10] {'voltage': 0, 'altitude': 8.64, 'temperature': 25.1, 'acceleration': {'z': 0, 'y': 0, 'x': 0}}
[09/Dec/2025 20:47:30] {'voltage': 0, 'altitude': 7.83, 'temperature': 24.75, 'acceleration': {'z': 0, 'y': 0, 'x': 0}}
[09/Dec/2025 20:47:49] {'voltage': 0, 'altitude': 8.24, 'temperature': 24.46, 'acceleration': {'z': 0, 'y': 0, 'x': 0}}
[09/Dec/2025 20:48:08] {'voltage': 0, 'altitude': 6.68, 'temperature': 24.27, 'acceleration': {'z': 0, 'y': 0, 'x': 0}}
[09/Dec/2025 20:48:28] {'voltage': 0, 'altitude': 7.88, 'temperature': 24.09, 'acceleration': {'z': 0, 'y': 0, 'x': 0}}
[09/Dec/2025 20:48:47] {'voltage': 0, 'altitude': 7.58, 'temperature': 23.95, 'acceleration': {'z': 0, 'y': 0, 'x': 0}}
[09/Dec/2025 20:49:07] {'voltage': 0, 'altitude': 8.62, 'temperature': 23.74, 'acceleration': {'z': 0, 'y': 0, 'x': 0}}
[09/Dec/2025 20:49:26] {'voltage': 0, 'altitude': 9.02, 'temperature': 23.64, 'acceleration': {'z': 0, 'y': 0, 'x': 0}}
[09/Dec/2025 20:49:45] {'voltage': 0, 'altitude': 9.32, 'temperature': 23.55, 'acceleration': {'z': 0, 'y': 0, 'x': 0}}
[09/Dec/2025 20:50:04] {'voltage': 0, 'altitude': 9.69, 'temperature': 23.43, 'acceleration': {'z': 0, 'y': 0, 'x': 0}}
[09/Dec/2025 20:50:24] {'voltage': 0, 'altitude': 9.67, 'temperature': 23.4, 'acceleration': {'z': 0, 'y': 0, 'x': 0}}
[09/Dec/2025 20:50:41] {'voltage': 0, 'altitude': 9.39, 'temperature': 23.35, 'acceleration': {'z': 0, 'y': 0, 'x': 0}}
