[19/Dec/2025 19:34:03] {'temperature': 27.04, 'altitude': -0.03, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.077, 'y': 0.095, 'x': 0.094}}
[19/Dec/2025 19:34:06] {'temperature': 27.03, 'altitude': -0.03, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.076, 'y': 0.103, 'x': 0.104}}
[19/Dec/2025 19:34:10] {'temperature': 27, 'altitude': -0.24, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.063, 'y': 0.12, 'x': 0.116}}
[19/Dec/2025 19:34:11] {'temperature': 27, 'altitude': -0.58, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.073, 'y': 0.11, 'x': 0.107}}
[19/Dec/2025 19:34:15] {'temperature': 26.95, 'altitude': -0.85, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.086, 'y': 0.102, 'x': 0.111}}
[19/Dec/2025 19:34:15] {'temperature': 26.95, 'altitude': -0.5, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.087, 'y': 0.109, 'x': 0.105}}
[19/Dec/2025 19:34:19] {'temperature': 26.94, 'altitude': -0.27, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.08, 'y': 0.106, 'x': 0.104}}
[19/Dec/2025 19:34:23] {'temperature': 26.98, 'altitude': 0.64, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.076, 'y': 0.106, 'x': 0.113}}
[19/Dec/2025 19:34:24] {'temperature': 27, 'altitude': 1.32, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.083, 'y': 0.115, 'x': 0.113}}
[19/Dec/2025 19:34:29] {'temperature': 27.15, 'altitude': 2.57, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.08, 'y': 0.112, 'x': 0.107}}
[19/Dec/2025 19:34:35] {'temperature': 27.34, 'altitude': 2.32, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.085, 'y': 0.116, 'x': 0.11}}
