[21/Dec/2025 11:30:14] {'temperature': 21.88, 'altitude': 0.11, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.096, 'y': 0.016, 'x': 0.039}}
[21/Dec/2025 11:30:16] {'temperature': 21.9, 'altitude': 0.48, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.102, 'y': 0.012, 'x': 0.042}}
[21/Dec/2025 11:30:19] {'temperature': 21.93, 'altitude': 1.48, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.101, 'y': 0.012, 'x': 0.034}}
[21/Dec/2025 11:30:21] {'temperature': 21.95, 'altitude': 0.77, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.037, 'y': -0.093, 'x': -0.002}}
[21/Dec/2025 11:30:22] {'temperature': 21.96, 'altitude': 1.6, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.091, 'y': -0.089, 'x': -0.021}}
[21/Dec/2025 11:30:23] {'temperature': 21.98, 'altitude': 1.29, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.095, 'y': -0.09, 'x': -0.019}}
[21/Dec/2025 11:30:27] {'temperature': 22.07, 'altitude': 1.15, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.098, 'y': -0.08200001, 'x': -0.016}}
[21/Dec/2025 11:30:31] {'temperature': 22.17, 'altitude': 0.54, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.089, 'y': -0.079, 'x': -0.017}}
[21/Dec/2025 11:30:31] {'temperature': 22.2, 'altitude': 0.35, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.088, 'y': -0.075, 'x': -0.007}}
[21/Dec/2025 11:30:36] {'temperature': 22.36, 'altitude': 1.77, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.098, 'y': -0.075, 'x': -0.006}}
[21/Dec/2025 11:30:40] {'temperature': 22.55, 'altitude': 0.7, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.098, 'y': -0.05900001, 'x': 0.002}}
[21/Dec/2025 11:30:44] {'temperature': 22.76, 'altitude': 0.03, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.096, 'y': -0.044, 'x': 0.008000001}}
[21/Dec/2025 11:30:48] {'temperature': 22.97, 'altitude': 0.9599999, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.116, 'y': -0.034, 'x': -0.002}}
[21/Dec/2025 11:30:51] {'temperature': 23.15, 'altitude': 0.61, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.085, 'y': -0.013, 'x': 0.028}}
[21/Dec/2025 11:30:54] {'temperature': 23.29, 'altitude': 0.27, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.106, 'y': 0.042, 'x': 0.058}}
[21/Dec/2025 11:30:56] {'temperature': 23.43, 'altitude': 0.18, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.096, 'y': 0.035, 'x': 0.05}}
[21/Dec/2025 11:30:58] {'temperature': 23.57, 'altitude': -0.12, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.093, 'y': 0.03, 'x': 0.05}}
[21/Dec/2025 11:31:01] {'temperature': 23.71, 'altitude': -0.23, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.097, 'y': 0.024, 'x': 0.05}}
[21/Dec/2025 11:31:03] {'temperature': 23.87, 'altitude': 0.29, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.098, 'y': 0.029, 'x': 0.041}}
[21/Dec/2025 11:31:05] {'temperature': 24.03, 'altitude': 0.65, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.093, 'y': 0.028, 'x': 0.052}}
[21/Dec/2025 11:31:07] {'temperature': 24.17, 'altitude': 0.51, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.098, 'y': 0.03, 'x': 0.058}}
[21/Dec/2025 11:31:09] {'temperature': 24.32, 'altitude': 0.01, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.099, 'y': 0.024, 'x': 0.052}}
[21/Dec/2025 11:31:12] {'temperature': 24.47, 'altitude': 0.24, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.093, 'y': 0.017, 'x': 0.043}}
[21/Dec/2025 11:31:14] {'temperature': 24.62, 'altitude': 0.6, 'voltage': 0, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.097, 'y': 0.019, 'x': 0.045}}
