[27/Dec/2025 19:33:36] {'temperature': 20.82, 'altitude': -0.29, 'voltage': 7.4, 'latitude': 38.83577, 'longitude': -77.40485, 'acceleration': {'z': 1.101, 'y': -0.018, 'x': 0.057}}
[27/Dec/2025 19:33:38] {'temperature': 20.85, 'altitude': -0.26, 'voltage': 7.4, 'latitude': 38.8358, 'longitude': -77.40486, 'acceleration': {'z': 1.1, 'y': -0.019, 'x': 0.058}}
[27/Dec/2025 19:33:39] {'temperature': 20.88, 'altitude': -0.45, 'voltage': 7.4, 'latitude': 38.8358, 'longitude': -77.40487, 'acceleration': {'z': 1.099, 'y': -0.027, 'x': 0.054}}
[27/Dec/2025 19:33:40] {'temperature': 20.9, 'altitude': -0.58, 'voltage': 7.4, 'latitude': 38.8358, 'longitude': -77.40488, 'acceleration': {'z': 1.094, 'y': -0.017, 'x': 0.062}}
[27/Dec/2025 19:33:41] {'temperature': 20.93, 'altitude': -0.01, 'voltage': 7.4, 'latitude': 38.8358, 'longitude': -77.40488, 'acceleration': {'z': 1.101, 'y': -0.022, 'x': 0.054}}
[27/Dec/2025 19:33:43] {'temperature': 20.96, 'altitude': 0.16, 'voltage': 7.4, 'latitude': 38.8358, 'longitude': -77.40488, 'acceleration': {'z': 1.098, 'y': -0.024, 'x': 0.062}}
[27/Dec/2025 19:33:45] {'temperature': 21, 'altitude': -0.27, 'voltage': 7.4, 'latitude': 38.8358, 'longitude': -77.40488, 'acceleration': {'z': 1.086, 'y': -0.018, 'x': 0.062}}
[27/Dec/2025 19:33:46] {'temperature': 21.04, 'altitude': -0.2, 'voltage': 7.4, 'latitude': 38.8358, 'longitude': -77.4049, 'acceleration': {'z': 1.097, 'y': -0.02, 'x': 0.055}}
[27/Dec/2025 19:33:48] {'temperature': 21.08, 'altitude': 0.3, 'voltage': 7.4, 'latitude': 38.8358, 'longitude': -77.4049, 'acceleration': {'z': 1.097, 'y': -0.018, 'x': 0.061}}
[27/Dec/2025 19:33:49] {'temperature': 21.13, 'altitude': 0, 'voltage': 7.4, 'latitude': 38.8358, 'longitude': -77.4049, 'acceleration': {'z': 1.106, 'y': -0.024, 'x': 0.06}}
[27/Dec/2025 19:33:51] {'temperature': 21.18, 'altitude': -0.7, 'voltage': 7.4, 'latitude': 38.83579, 'longitude': -77.40491, 'acceleration': {'z': 1.096, 'y': -0.021, 'x': 0.062}}
[27/Dec/2025 19:33:52] {'temperature': 21.24, 'altitude': -0.35, 'voltage': 7.4, 'latitude': 38.83579, 'longitude': -77.40491, 'acceleration': {'z': 1.1, 'y': -0.022, 'x': 0.056}}
[27/Dec/2025 19:33:54] {'temperature': 21.3, 'altitude': -0.51, 'voltage': 7.4, 'latitude': 38.83578, 'longitude': -77.40492, 'acceleration': {'z': 1.103, 'y': -0.022, 'x': 0.056}}
[27/Dec/2025 19:33:55] {'temperature': 21.36, 'altitude': -0.31, 'voltage': 7.4, 'latitude': 38.83578, 'longitude': -77.40492, 'acceleration': {'z': 1.105, 'y': -0.018, 'x': 0.053}}
