[02/Jan/2026 17:56:31] {'temperature': 28.58, 'altitude': 5.02, 'voltage': 7.4, 'latitude': 38.83595, 'longitude': -77.40504, 'acceleration': {'z': 1.085, 'y': -0.054, 'x': 0.024}}
[02/Jan/2026 17:56:49] {'temperature': 28.81, 'altitude': 4.78, 'voltage': 7.4, 'latitude': 38.83592, 'longitude': -77.40504, 'acceleration': {'z': 1.088, 'y': -0.052, 'x': 0.025}}
[02/Jan/2026 17:56:53] {'temperature': 28.85, 'altitude': 3.85, 'voltage': 7.4, 'latitude': 38.83591, 'longitude': -77.40504, 'acceleration': {'z': 1.095, 'y': -0.054, 'x': 0.028}}
[02/Jan/2026 17:56:57] {'temperature': 28.88, 'altitude': 3.89, 'voltage': 7.4, 'latitude': 38.83591, 'longitude': -77.40504, 'acceleration': {'z': 1.091, 'y': -0.054, 'x': 0.025}}
[02/Jan/2026 17:57:01] {'temperature': 28.91, 'altitude': 4.33, 'voltage': 7.4, 'latitude': 38.8359, 'longitude': -77.40504, 'acceleration': {'z': 1.091, 'y': -0.054, 'x': 0.021}}
[02/Jan/2026 17:57:12] {'temperature': 29, 'altitude': 3.88, 'voltage': 7.4, 'latitude': 38.83588, 'longitude': -77.40504, 'acceleration': {'z': 1.09, 'y': -0.053, 'x': 0.026}}
[02/Jan/2026 17:57:26] {'temperature': 29.09, 'altitude': 3.99, 'voltage': 7.4, 'latitude': 38.83587, 'longitude': -77.40503, 'acceleration': {'z': 1.088, 'y': -0.057, 'x': 0.022}}
[02/Jan/2026 17:57:30] {'temperature': 29.12, 'altitude': 3.84, 'voltage': 7.4, 'latitude': 38.83587, 'longitude': -77.40502, 'acceleration': {'z': 1.096, 'y': -0.056, 'x': 0.026}}
[02/Jan/2026 17:57:34] {'temperature': 29.15, 'altitude': 3.13, 'voltage': 7.4, 'latitude': 38.83587, 'longitude': -77.40502, 'acceleration': {'z': 1.095, 'y': -0.048, 'x': 0.024}}
[02/Jan/2026 17:58:41] {'temperature': 29.16, 'altitude': 3.93, 'voltage': 7.4, 'latitude': 38.8359, 'longitude': -77.40498, 'acceleration': {'z': 1.089, 'y': -0.272, 'x': -0.124}}
[02/Jan/2026 17:58:43] {'temperature': 29.05, 'altitude': 4.36, 'voltage': 7.4, 'latitude': 38.83591, 'longitude': -77.40498, 'acceleration': {'z': 0.867, 'y': -0.193, 'x': -0.104}}
[02/Jan/2026 17:58:44] {'temperature': 29.05, 'altitude': 4.2, 'voltage': 7.4, 'latitude': 38.83591, 'longitude': -77.40498, 'acceleration': {'z': 1.368, 'y': -0.061, 'x': -0.202}}
[02/Jan/2026 17:58:46] {'temperature': 29.03, 'altitude': 3.55, 'voltage': 7.4, 'latitude': 38.8359, 'longitude': -77.40497, 'acceleration': {'z': 1.062, 'y': 0.111, 'x': -0.089}}
[02/Jan/2026 17:58:48] {'temperature': 29.01, 'altitude': 3.63, 'voltage': 7.4, 'latitude': 38.83589, 'longitude': -77.40498, 'acceleration': {'z': 1.067, 'y': 0.176, 'x': -0.133}}
[02/Jan/2026 17:58:49] {'temperature': 29.06, 'altitude': 3.4, 'voltage': 7.4, 'latitude': 38.83588, 'longitude': -77.40498, 'acceleration': {'z': 1.057, 'y': 0.174, 'x': -0.128}}
[02/Jan/2026 17:58:50] {'temperature': 29.05, 'altitude': 3.43, 'voltage': 7.4, 'latitude': 38.83588, 'longitude': -77.40498, 'acceleration': {'z': 1.056, 'y': 0.168, 'x': -0.135}}
[02/Jan/2026 17:58:52] {'temperature': 29.08, 'altitude': 3.11, 'voltage': 7.4, 'latitude': 38.83588, 'longitude': -77.40498, 'acceleration': {'z': 1.055, 'y': 0.186, 'x': -0.14}}
[02/Jan/2026 17:58:53] {'temperature': 29.08, 'altitude': 3.08, 'voltage': 7.4, 'latitude': 38.83588, 'longitude': -77.40498, 'acceleration': {'z': 1.063, 'y': 0.187, 'x': -0.144}}
[02/Jan/2026 17:58:56] {'temperature': 29.05, 'altitude': 2.86, 'voltage': 7.4, 'latitude': 38.83588, 'longitude': -77.40334, 'acceleration': {'z': 1.054, 'y': 0.182, 'x': -0.149}}
[02/Jan/2026 17:58:58] {'temperature': 29.09, 'altitude': 3.43, 'voltage': 7.4, 'latitude': 38.83588, 'longitude': -77.40498, 'acceleration': {'z': 1.067, 'y': 0.184, 'x': -0.14}}
[02/Jan/2026 17:59:01] {'temperature': 29.11, 'altitude': 2.93, 'voltage': 7.4, 'latitude': 38.83588, 'longitude': -77.40498, 'acceleration': {'z': 1.054, 'y': 0.176, 'x': -0.142}}
[02/Jan/2026 17:59:03] {'temperature': 29.12, 'altitude': 3.28, 'voltage': 7.4, 'latitude': 38.83587, 'longitude': -77.405, 'acceleration': {'z': 0.952, 'y': 0.503, 'x': -0.225}}
[02/Jan/2026 17:59:05] {'temperature': 29.15, 'altitude': 2.76, 'voltage': 7.4, 'latitude': 38.83587, 'longitude': -77.40501, 'acceleration': {'z': 0.985, 'y': 0.342, 'x': -0.213}}
[02/Jan/2026 17:59:07] {'temperature': 29.14, 'altitude': 3.57, 'voltage': 7.4, 'latitude': 38.83585, 'longitude': -77.405, 'acceleration': {'z': 0.037, 'y': 0.983, 'x': -0.143}}
[02/Jan/2026 17:59:10] {'temperature': 29.15, 'altitude': 2.95, 'voltage': 7.4, 'latitude': 38.83584, 'longitude': -77.40499, 'acceleration': {'z': -0.2, 'y': 0.95, 'x': -0.129}}
[02/Jan/2026 17:59:12] {'temperature': 29.13, 'altitude': 3.05, 'voltage': 7.4, 'latitude': 38.83582, 'longitude': -77.40499, 'acceleration': {'z': 1.073, 'y': 0.24, 'x': -0.09}}
[02/Jan/2026 17:59:14] {'temperature': 29.19, 'altitude': 2.75, 'voltage': 7.4, 'latitude': 38.83581, 'longitude': -77.40499, 'acceleration': {'z': 1.063, 'y': 0.213, 'x': -0.078}}
[02/Jan/2026 17:59:16] {'temperature': 29.23, 'altitude': 2.73, 'voltage': 7.4, 'latitude': 38.83581, 'longitude': -77.40499, 'acceleration': {'z': 1.073, 'y': 0.209, 'x': -0.086}}
[02/Jan/2026 17:59:19] {'temperature': 29.27, 'altitude': 2.72, 'voltage': 7.4, 'latitude': 38.83581, 'longitude': -77.40499, 'acceleration': {'z': 1.068, 'y': 0.2, 'x': -0.09799999}}
[02/Jan/2026 17:59:21] {'temperature': 29.24, 'altitude': 2.5, 'voltage': 7.4, 'latitude': 38.83581, 'longitude': -77.40501, 'acceleration': {'z': 1.067, 'y': 0.181, 'x': -0.14}}
[02/Jan/2026 17:59:23] {'temperature': 29.26, 'altitude': 2.92, 'voltage': 7.4, 'latitude': 38.83581, 'longitude': -77.405, 'acceleration': {'z': 1.103, 'y': 0.122, 'x': -0.171}}
[02/Jan/2026 17:59:27] {'temperature': 29.17, 'altitude': 3.57, 'voltage': 7.4, 'latitude': 38.83582, 'longitude': -77.40499, 'acceleration': {'z': 1.003, 'y': 0.175, 'x': 0.077}}
