[18/Jan/2026 10:09:33] {'temperature': 20.73, 'altitude': 0.29, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.102, 'y': 0.01, 'x': 0.049}}
[18/Jan/2026 10:09:38] {'temperature': 20.81, 'altitude': -0.21, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.105, 'y': 0.017, 'x': 0.047}}
[18/Jan/2026 10:09:43] {'temperature': 20.93, 'altitude': 0.49, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.098, 'y': 0.003, 'x': 0.051}}
[18/Jan/2026 10:09:47] {'temperature': 21.07, 'altitude': 0.9700001, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.1, 'y': 0.005, 'x': 0.057}}
[18/Jan/2026 10:09:52] {'temperature': 21.25, 'altitude': 0.28, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.095, 'y': 0.007, 'x': 0.052}}
[18/Jan/2026 10:09:56] {'temperature': 21.43, 'altitude': 0.42, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.09, 'y': 0.001, 'x': 0.053}}
[18/Jan/2026 10:10:00] {'temperature': 21.63, 'altitude': 1.28, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.103, 'y': 0.005, 'x': 0.055}}
[18/Jan/2026 10:10:05] {'temperature': 21.82, 'altitude': 1.06, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.102, 'y': 0.005, 'x': 0.053}}
[18/Jan/2026 10:10:16] {'temperature': 22.4, 'altitude': 2.56, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.101, 'y': 0, 'x': 0.051}}
[18/Jan/2026 10:10:17] {'temperature': 22.45, 'altitude': 2.81, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.097, 'y': 0.009, 'x': 0.049}}
[18/Jan/2026 10:10:21] {'temperature': 22.63, 'altitude': 2.66, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.099, 'y': 0.005, 'x': 0.05}}
[18/Jan/2026 10:10:22] {'temperature': 22.68, 'altitude': 2.72, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.111, 'y': -0.002, 'x': 0.052}}
[18/Jan/2026 10:10:26] {'temperature': 22.86, 'altitude': 2.45, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.104, 'y': 0.018, 'x': 0.054}}
[18/Jan/2026 10:10:30] {'temperature': 23.03, 'altitude': 1.4, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.1, 'y': -0.003, 'x': 0.056}}
[18/Jan/2026 10:10:35] {'temperature': 23.23, 'altitude': 3.05, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.095, 'y': 0.004, 'x': 0.049}}
[18/Jan/2026 10:10:49] {'temperature': 23.86, 'altitude': 4, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.084, 'y': 0.016, 'x': 0.053}}
[18/Jan/2026 10:10:53] {'temperature': 24.03, 'altitude': 4.54, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.098, 'y': 0.006, 'x': 0.051}}
[18/Jan/2026 10:10:58] {'temperature': 24.19, 'altitude': 3.41, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.095, 'y': 0, 'x': 0.045}}
[18/Jan/2026 10:11:02] {'temperature': 24.33, 'altitude': 3.67, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.1, 'y': 0.003, 'x': 0.049}}
[18/Jan/2026 10:11:06] {'temperature': 24.5, 'altitude': 3.09, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.099, 'y': 0.005, 'x': 0.048}}
[18/Jan/2026 10:11:11] {'temperature': 24.66, 'altitude': 3.87, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.094, 'y': 0.003, 'x': 0.052}}
[18/Jan/2026 10:11:15] {'temperature': 24.8, 'altitude': 3.44, 'voltage': 7.4, 'latitude': 38.83641, 'longitude': -77.40478, 'acceleration': {'z': 1.093, 'y': 0.006, 'x': 0.051}}
[18/Jan/2026 10:12:34] {'temperature': 24.54, 'altitude': 0.85, 'voltage': 7.4, 'latitude': 38.83658, 'longitude': -77.40476, 'acceleration': {'z': 1.09, 'y': -0.001, 'x': 0.049}}
[18/Jan/2026 10:12:38] {'temperature': 24.61, 'altitude': 1.37, 'voltage': 7.4, 'latitude': 38.83652, 'longitude': -77.40476, 'acceleration': {'z': 1.099, 'y': -0.007, 'x': 0.055}}
[18/Jan/2026 10:12:42] {'temperature': 24.67, 'altitude': 1.02, 'voltage': 7.4, 'latitude': 38.8364, 'longitude': -77.40481, 'acceleration': {'z': 1.149, 'y': -0.021, 'x': 0.042}}
[18/Jan/2026 10:12:45] {'temperature': 24.78, 'altitude': 0.42, 'voltage': 7.4, 'latitude': 38.83638, 'longitude': -77.40482, 'acceleration': {'z': 1.102, 'y': 0.005, 'x': 0.053}}
[18/Jan/2026 10:12:49] {'temperature': 24.9, 'altitude': 0.53, 'voltage': 7.4, 'latitude': 38.83636, 'longitude': -77.40483, 'acceleration': {'z': 1.101, 'y': 0.037, 'x': 0.022}}
[18/Jan/2026 10:12:53] {'temperature': 25.03, 'altitude': 0.13, 'voltage': 7.4, 'latitude': 38.83636, 'longitude': -77.40483, 'acceleration': {'z': 1.095, 'y': 0.001, 'x': 0.047}}
[18/Jan/2026 10:12:57] {'temperature': 25.16, 'altitude': 0.91, 'voltage': 7.4, 'latitude': 38.83636, 'longitude': -77.40483, 'acceleration': {'z': 1.095, 'y': 0.004, 'x': 0.04}}
[18/Jan/2026 10:13:01] {'temperature': 25.26, 'altitude': 1.76, 'voltage': 7.4, 'latitude': 38.83632, 'longitude': -77.40485, 'acceleration': {'z': 1.087, 'y': 0, 'x': 0.047}}
[18/Jan/2026 10:13:05] {'temperature': 25.38, 'altitude': 1.88, 'voltage': 7.4, 'latitude': 38.8363, 'longitude': -77.40485, 'acceleration': {'z': 1.1, 'y': 0, 'x': 0.055}}
[18/Jan/2026 10:13:09] {'temperature': 25.51, 'altitude': 1.13, 'voltage': 7.4, 'latitude': 38.83629, 'longitude': -77.40487, 'acceleration': {'z': 1.084, 'y': 0.003, 'x': 0.053}}
[18/Jan/2026 10:13:13] {'temperature': 25.61, 'altitude': 1.49, 'voltage': 7.4, 'latitude': 38.83615, 'longitude': -77.40493, 'acceleration': {'z': 1.094, 'y': 0.006, 'x': 0.053}}
[18/Jan/2026 10:14:05] {'temperature': 25.47, 'altitude': 0.42, 'voltage': 7.4, 'latitude': 38.83598, 'longitude': -77.40509, 'acceleration': {'z': 1.099, 'y': -0.004, 'x': 0.06}}
[18/Jan/2026 10:14:09] {'temperature': 25.47, 'altitude': -0.3, 'voltage': 7.4, 'latitude': 38.83599, 'longitude': -77.40506, 'acceleration': {'z': 1.091, 'y': -0.004, 'x': 0.046}}
[18/Jan/2026 10:14:13] {'temperature': 25.46, 'altitude': -0.46, 'voltage': 7.4, 'latitude': 38.83601, 'longitude': -77.40507, 'acceleration': {'z': 1.098, 'y': 0.006, 'x': 0.048}}
[18/Jan/2026 10:14:18] {'temperature': 25.5, 'altitude': 0.25, 'voltage': 7.4, 'latitude': 38.83601, 'longitude': -77.40508, 'acceleration': {'z': 1.095, 'y': 0, 'x': 0.052}}
[18/Jan/2026 10:14:22] {'temperature': 25.53, 'altitude': -0.08, 'voltage': 7.4, 'latitude': 38.836, 'longitude': -77.40507, 'acceleration': {'z': 1.089, 'y': -0.008000001, 'x': 0.056}}
[18/Jan/2026 10:14:27] {'temperature': 25.6, 'altitude': 0.3, 'voltage': 7.4, 'latitude': 38.83599, 'longitude': -77.40508, 'acceleration': {'z': 1.098, 'y': 0.001, 'x': 0.046}}
[18/Jan/2026 10:14:33] {'temperature': 25.73, 'altitude': -0.25, 'voltage': 7.4, 'latitude': 38.83598, 'longitude': -77.40508, 'acceleration': {'z': 1.092, 'y': 0.003, 'x': 0.053}}
[18/Jan/2026 10:14:37] {'temperature': 25.83, 'altitude': -0.1, 'voltage': 7.4, 'latitude': 38.83595, 'longitude': -77.40508, 'acceleration': {'z': 1.104, 'y': 0.01, 'x': 0.051}}
[18/Jan/2026 10:14:41] {'temperature': 25.9, 'altitude': 1.24, 'voltage': 7.4, 'latitude': 38.83591, 'longitude': -77.40509, 'acceleration': {'z': 1.087, 'y': 0.009, 'x': 0.048}}
[18/Jan/2026 10:14:45] {'temperature': 26, 'altitude': 1.02, 'voltage': 7.4, 'latitude': 38.83591, 'longitude': -77.4051, 'acceleration': {'z': 1.098, 'y': -0.004, 'x': 0.055}}
[18/Jan/2026 10:14:49] {'temperature': 26.04, 'altitude': 0.77, 'voltage': 7.4, 'latitude': 38.8359, 'longitude': -77.40509, 'acceleration': {'z': 1.102, 'y': 0.001, 'x': 0.054}}
[18/Jan/2026 10:14:52] {'temperature': 26.15, 'altitude': 1.14, 'voltage': 7.4, 'latitude': 38.8359, 'longitude': -77.40509, 'acceleration': {'z': 1.093, 'y': 0.006, 'x': 0.048}}
[18/Jan/2026 10:14:56] {'temperature': 26.23, 'altitude': 0.85, 'voltage': 7.4, 'latitude': 38.8359, 'longitude': -77.40508, 'acceleration': {'z': 1.099, 'y': 0.003, 'x': 0.055}}
[18/Jan/2026 11:54:12] {'temperature': 24.02, 'altitude': 0.66, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.093, 'y': 0.004, 'x': 0.056}}
[18/Jan/2026 11:54:56] {'temperature': 25.67, 'altitude': 0.95, 'voltage': 7.4, 'latitude': 38.83595, 'longitude': -77.405, 'acceleration': {'z': 1.095, 'y': 0.003, 'x': 0.05}}
[18/Jan/2026 11:54:59] {'temperature': 25.76, 'altitude': 0.88, 'voltage': 7.4, 'latitude': 38.83595, 'longitude': -77.405, 'acceleration': {'z': 1.101, 'y': 0.003, 'x': 0.05}}
[18/Jan/2026 11:55:01] {'temperature': 25.83, 'altitude': 0.65, 'voltage': 7.4, 'latitude': 38.83595, 'longitude': -77.405, 'acceleration': {'z': 1.096, 'y': -0.001, 'x': 0.057}}
[18/Jan/2026 11:55:03] {'temperature': 25.91, 'altitude': 0.98, 'voltage': 7.4, 'latitude': 38.83595, 'longitude': -77.405, 'acceleration': {'z': 1.081, 'y': 0.011, 'x': 0.055}}
[18/Jan/2026 11:55:05] {'temperature': 25.97, 'altitude': 1.02, 'voltage': 7.4, 'latitude': 38.83595, 'longitude': -77.405, 'acceleration': {'z': 1.097, 'y': 0.001, 'x': 0.055}}
[18/Jan/2026 11:55:07] {'temperature': 26.05, 'altitude': 2.05, 'voltage': 7.4, 'latitude': 38.83595, 'longitude': -77.405, 'acceleration': {'z': 1.094, 'y': 0.009, 'x': 0.057}}
[18/Jan/2026 11:55:09] {'temperature': 26.12, 'altitude': 1.65, 'voltage': 7.4, 'latitude': 38.83595, 'longitude': -77.405, 'acceleration': {'z': 1.09, 'y': 0.006, 'x': 0.044}}
[18/Jan/2026 11:55:12] {'temperature': 26.22, 'altitude': 1.88, 'voltage': 7.4, 'latitude': 38.83595, 'longitude': -77.405, 'acceleration': {'z': 1.091, 'y': 0.005, 'x': 0.049}}
[18/Jan/2026 11:55:14] {'temperature': 26.29, 'altitude': 1.51, 'voltage': 7.4, 'latitude': 38.83595, 'longitude': -77.405, 'acceleration': {'z': 1.1, 'y': 0.012, 'x': 0.058}}
[18/Jan/2026 11:55:16] {'temperature': 26.35, 'altitude': 1.53, 'voltage': 7.4, 'latitude': 38.83594, 'longitude': -77.405, 'acceleration': {'z': 1.099, 'y': -0.001, 'x': 0.049}}
[18/Jan/2026 11:55:18] {'temperature': 26.42, 'altitude': 0.77, 'voltage': 7.4, 'latitude': 38.83594, 'longitude': -77.405, 'acceleration': {'z': 1.089, 'y': 0.007, 'x': 0.053}}
[18/Jan/2026 11:55:20] {'temperature': 26.48, 'altitude': 1.02, 'voltage': 7.4, 'latitude': 38.83594, 'longitude': -77.40501, 'acceleration': {'z': 1.097, 'y': 0.004, 'x': 0.047}}
[18/Jan/2026 11:55:22] {'temperature': 26.54, 'altitude': 0.86, 'voltage': 7.4, 'latitude': 38.83593, 'longitude': -77.40501, 'acceleration': {'z': 1.095, 'y': 0, 'x': 0.057}}
[18/Jan/2026 11:55:24] {'temperature': 26.61, 'altitude': 0.31, 'voltage': 7.4, 'latitude': 38.83593, 'longitude': -77.40501, 'acceleration': {'z': 1.097, 'y': -0.003, 'x': 0.052}}
[18/Jan/2026 11:55:27] {'temperature': 26.63, 'altitude': 0.52, 'voltage': 7.4, 'latitude': 38.83593, 'longitude': -77.40501, 'acceleration': {'z': 1.097, 'y': 0.003, 'x': 0.049}}
[18/Jan/2026 11:55:29] {'temperature': 26.68, 'altitude': 1.41, 'voltage': 7.4, 'latitude': 38.83593, 'longitude': -77.40501, 'acceleration': {'z': 1.091, 'y': 0.001, 'x': 0.055}}
[18/Jan/2026 11:55:31] {'temperature': 26.74, 'altitude': 1.62, 'voltage': 7.4, 'latitude': 38.83593, 'longitude': -77.40501, 'acceleration': {'z': 1.107, 'y': 0.009, 'x': 0.054}}
[18/Jan/2026 11:55:33] {'temperature': 26.79, 'altitude': 1.71, 'voltage': 7.4, 'latitude': 38.83593, 'longitude': -77.40501, 'acceleration': {'z': 1.11, 'y': 0.003, 'x': 0.046}}
[18/Jan/2026 11:55:36] {'temperature': 26.86, 'altitude': 1.54, 'voltage': 7.4, 'latitude': 38.83592, 'longitude': -77.40501, 'acceleration': {'z': 1.09, 'y': 0.01, 'x': 0.058}}
[18/Jan/2026 11:55:38] {'temperature': 26.92, 'altitude': 1.43, 'voltage': 7.4, 'latitude': 38.83592, 'longitude': -77.40501, 'acceleration': {'z': 1.101, 'y': 0.017, 'x': 0.053}}
[18/Jan/2026 11:55:40] {'temperature': 26.97, 'altitude': 1.17, 'voltage': 7.4, 'latitude': 38.83591, 'longitude': -77.40501, 'acceleration': {'z': 1.095, 'y': 0.005, 'x': 0.054}}
[18/Jan/2026 11:55:42] {'temperature': 27.01, 'altitude': 0.92, 'voltage': 7.4, 'latitude': 38.83591, 'longitude': -77.40502, 'acceleration': {'z': 1.097, 'y': -0.003, 'x': 0.052}}
[18/Jan/2026 11:55:46] {'temperature': 27.12, 'altitude': 0.55, 'voltage': 7.4, 'latitude': 38.83591, 'longitude': -77.40502, 'acceleration': {'z': 1.099, 'y': 0.005, 'x': 0.053}}
[18/Jan/2026 11:55:48] {'temperature': 27.14, 'altitude': 1.33, 'voltage': 7.4, 'latitude': 38.83591, 'longitude': -77.40502, 'acceleration': {'z': 1.085, 'y': 0.008000001, 'x': 0.056}}
[18/Jan/2026 11:55:50] {'temperature': 27.16, 'altitude': 0.88, 'voltage': 7.4, 'latitude': 38.83591, 'longitude': -77.40502, 'acceleration': {'z': 1.102, 'y': 0.007, 'x': 0.055}}
[18/Jan/2026 11:55:53] {'temperature': 27.21, 'altitude': 1.33, 'voltage': 7.4, 'latitude': 38.83591, 'longitude': -77.40502, 'acceleration': {'z': 1.104, 'y': 0.009, 'x': 0.045}}
[18/Jan/2026 11:55:55] {'temperature': 27.27, 'altitude': 1.59, 'voltage': 7.4, 'latitude': 38.83591, 'longitude': -77.40502, 'acceleration': {'z': 1.093, 'y': 0.009, 'x': 0.052}}
[18/Jan/2026 15:38:32] {'temperature': 22.22, 'altitude': -0.24, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.095, 'y': 0.005, 'x': 0.053}}
[18/Jan/2026 15:38:34] {'temperature': 22.25, 'altitude': -0.07, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.094, 'y': 0.01, 'x': 0.058}}
[18/Jan/2026 15:38:36] {'temperature': 22.29, 'altitude': -0.29, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.111, 'y': 0.002, 'x': 0.055}}
[18/Jan/2026 15:38:38] {'temperature': 22.33, 'altitude': 0.06, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.098, 'y': 0.003, 'x': 0.052}}
[18/Jan/2026 15:38:40] {'temperature': 22.37, 'altitude': -0.72, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.1, 'y': 0.009, 'x': 0.056}}
[18/Jan/2026 15:38:42] {'temperature': 22.42, 'altitude': -0.26, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.089, 'y': 0.003, 'x': 0.049}}
