[26/Feb/2026 17:54:35] {'temperature': 21.68, 'altitude': -1.11, 'voltage': 7.4, 'latitude': 38.83599, 'longitude': -77.40504, 'acceleration': {'z': 1.052, 'y': 0.041, 'x': -0.202}}
[26/Feb/2026 17:54:36] {'temperature': 21.69, 'altitude': -1.11, 'voltage': 7.4, 'latitude': 38.83599, 'longitude': -77.40504, 'acceleration': {'z': 1.068, 'y': 0.035, 'x': -0.207}}
[26/Feb/2026 17:54:37] {'temperature': 21.69, 'altitude': -0.95, 'voltage': 7.4, 'latitude': 38.83599, 'longitude': -77.40504, 'acceleration': {'z': 1.08, 'y': 0.029, 'x': -0.208}}
[26/Feb/2026 17:54:38] {'temperature': 21.69, 'altitude': -0.95, 'voltage': 7.4, 'latitude': 38.83599, 'longitude': -77.40504, 'acceleration': {'z': 1.066, 'y': 0.034, 'x': -0.208}}
[26/Feb/2026 17:54:39] {'temperature': 21.69, 'altitude': -1.53, 'voltage': 7.4, 'latitude': 38.83599, 'longitude': -77.40504, 'acceleration': {'z': 1.065, 'y': 0.036, 'x': -0.203}}
[26/Feb/2026 17:54:40] {'temperature': 21.69, 'altitude': -0.8, 'voltage': 7.4, 'latitude': 38.83599, 'longitude': -77.40504, 'acceleration': {'z': 1.063, 'y': 0.035, 'x': -0.214}}
[26/Feb/2026 17:54:41] {'temperature': 21.7, 'altitude': -0.24, 'voltage': 7.4, 'latitude': 38.83599, 'longitude': -77.40504, 'acceleration': {'z': 1.069, 'y': 0.033, 'x': -0.204}}
[26/Feb/2026 17:54:42] {'temperature': 21.7, 'altitude': -0.64, 'voltage': 7.4, 'latitude': 38.83599, 'longitude': -77.40504, 'acceleration': {'z': 1.065, 'y': 0.027, 'x': -0.207}}
[26/Feb/2026 17:54:43] {'temperature': 21.71, 'altitude': -0.48, 'voltage': 7.4, 'latitude': 38.83599, 'longitude': -77.40504, 'acceleration': {'z': 1.058, 'y': 0.031, 'x': -0.214}}
[26/Feb/2026 17:54:44] {'temperature': 21.7, 'altitude': -0.7, 'voltage': 7.4, 'latitude': 38.83599, 'longitude': -77.40504, 'acceleration': {'z': 1.067, 'y': 0.04, 'x': -0.212}}
[26/Feb/2026 17:54:45] {'temperature': 21.71, 'altitude': -0.48, 'voltage': 7.4, 'latitude': 38.83599, 'longitude': -77.40504, 'acceleration': {'z': 1.07, 'y': 0.034, 'x': -0.208}}
[26/Feb/2026 17:54:46] {'temperature': 21.71, 'altitude': -0.34, 'voltage': 7.4, 'latitude': 38.83599, 'longitude': -77.40504, 'acceleration': {'z': 1.069, 'y': 0.025, 'x': -0.21}}
[26/Feb/2026 17:54:47] {'temperature': 21.72, 'altitude': -1.32, 'voltage': 7.4, 'latitude': 38.83599, 'longitude': -77.40504, 'acceleration': {'z': 1.067, 'y': 0.04, 'x': -0.211}}
[26/Feb/2026 17:54:48] {'temperature': 21.72, 'altitude': -0.59, 'voltage': 7.4, 'latitude': 38.83599, 'longitude': -77.40504, 'acceleration': {'z': 1.07, 'y': 0.037, 'x': -0.205}}
[26/Feb/2026 17:54:49] {'temperature': 21.72, 'altitude': -0.77, 'voltage': 7.4, 'latitude': 38.83599, 'longitude': -77.40504, 'acceleration': {'z': 1.058, 'y': 0.033, 'x': -0.214}}
[26/Feb/2026 17:54:50] {'temperature': 21.72, 'altitude': -0.9599999, 'voltage': 7.4, 'latitude': 38.83599, 'longitude': -77.40504, 'acceleration': {'z': 1.072, 'y': 0.031, 'x': -0.205}}
[26/Feb/2026 17:54:51] {'temperature': 21.73, 'altitude': -0.42, 'voltage': 7.4, 'latitude': 38.83599, 'longitude': -77.40504, 'acceleration': {'z': 1.062, 'y': 0.031, 'x': -0.201}}
[26/Feb/2026 17:54:52] {'temperature': 21.73, 'altitude': -1, 'voltage': 7.4, 'latitude': 38.83599, 'longitude': -77.40504, 'acceleration': {'z': 1.063, 'y': 0.031, 'x': -0.214}}
[26/Feb/2026 17:54:53] {'temperature': 21.73, 'altitude': -1.22, 'voltage': 7.4, 'latitude': 38.83598, 'longitude': -77.40502, 'acceleration': {'z': 1.072, 'y': 0.039, 'x': -0.212}}
[26/Feb/2026 17:54:54] {'temperature': 21.73, 'altitude': -0.86, 'voltage': 7.4, 'latitude': 38.83598, 'longitude': -77.40502, 'acceleration': {'z': 1.061, 'y': 0.029, 'x': -0.206}}
[26/Feb/2026 17:54:55] {'temperature': 21.73, 'altitude': -1.04, 'voltage': 7.4, 'latitude': 38.83598, 'longitude': -77.40501, 'acceleration': {'z': 1.062, 'y': 0.029, 'x': -0.208}}
[26/Feb/2026 17:54:56] {'temperature': 21.74, 'altitude': -1.06, 'voltage': 7.4, 'latitude': 38.83597, 'longitude': -77.40501, 'acceleration': {'z': 1.063, 'y': 0.036, 'x': -0.214}}
[26/Feb/2026 17:54:57] {'temperature': 21.74, 'altitude': -1.65, 'voltage': 7.4, 'latitude': 38.83597, 'longitude': -77.40501, 'acceleration': {'z': 1.064, 'y': 0.032, 'x': -0.212}}
[26/Feb/2026 17:54:58] {'temperature': 21.74, 'altitude': -1.69, 'voltage': 7.4, 'latitude': 38.83597, 'longitude': -77.40501, 'acceleration': {'z': 1.062, 'y': 0.031, 'x': -0.211}}
[26/Feb/2026 17:54:59] {'temperature': 21.75, 'altitude': -1.28, 'voltage': 7.4, 'latitude': 38.83597, 'longitude': -77.40501, 'acceleration': {'z': 1.075, 'y': 0.034, 'x': -0.208}}
[26/Feb/2026 17:55:00] {'temperature': 21.75, 'altitude': -0.94, 'voltage': 7.4, 'latitude': 38.83596, 'longitude': -77.40501, 'acceleration': {'z': 1.068, 'y': 0.034, 'x': -0.211}}
[26/Feb/2026 17:55:01] {'temperature': 21.74, 'altitude': -0.73, 'voltage': 7.4, 'latitude': 38.83596, 'longitude': -77.40501, 'acceleration': {'z': 1.063, 'y': 0.029, 'x': -0.211}}
[26/Feb/2026 17:55:02] {'temperature': 21.75, 'altitude': -0.92, 'voltage': 7.4, 'latitude': 38.83596, 'longitude': -77.40501, 'acceleration': {'z': 1.076, 'y': 0.031, 'x': -0.208}}
[26/Feb/2026 17:55:03] {'temperature': 21.75, 'altitude': -0.54, 'voltage': 7.4, 'latitude': 38.83596, 'longitude': -77.40501, 'acceleration': {'z': 1.063, 'y': 0.033, 'x': -0.211}}
[26/Feb/2026 17:55:04] {'temperature': 21.75, 'altitude': -1.32, 'voltage': 7.4, 'latitude': 38.83596, 'longitude': -77.40501, 'acceleration': {'z': 1.065, 'y': 0.029, 'x': -0.212}}
[26/Feb/2026 17:55:05] {'temperature': 21.75, 'altitude': -1.1, 'voltage': 7.4, 'latitude': 38.83596, 'longitude': -77.40501, 'acceleration': {'z': 1.059, 'y': 0.033, 'x': -0.208}}
[26/Feb/2026 17:55:06] {'temperature': 21.74, 'altitude': -1.13, 'voltage': 7.4, 'latitude': 38.83596, 'longitude': -77.40501, 'acceleration': {'z': 1.066, 'y': 0.034, 'x': -0.212}}
[26/Feb/2026 17:55:07] {'temperature': 21.75, 'altitude': -1.47, 'voltage': 7.4, 'latitude': 38.83596, 'longitude': -77.40501, 'acceleration': {'z': 1.066, 'y': 0.033, 'x': -0.216}}
[26/Feb/2026 17:55:08] {'temperature': 21.74, 'altitude': -1.47, 'voltage': 7.4, 'latitude': 38.83595, 'longitude': -77.40501, 'acceleration': {'z': 1.071, 'y': 0.027, 'x': -0.206}}
[26/Feb/2026 17:55:09] {'temperature': 21.74, 'altitude': -1.47, 'voltage': 7.4, 'latitude': 38.83595, 'longitude': -77.40501, 'acceleration': {'z': 1.064, 'y': 0.031, 'x': -0.213}}
[26/Feb/2026 17:55:10] {'temperature': 21.74, 'altitude': -1.28, 'voltage': 7.4, 'latitude': 38.83594, 'longitude': -77.40501, 'acceleration': {'z': 1.067, 'y': 0.032, 'x': -0.213}}
[26/Feb/2026 17:55:11] {'temperature': 21.74, 'altitude': -1.65, 'voltage': 7.4, 'latitude': 38.83594, 'longitude': -77.40501, 'acceleration': {'z': 1.061, 'y': 0.028, 'x': -0.213}}
[26/Feb/2026 17:55:12] {'temperature': 21.74, 'altitude': -1.65, 'voltage': 7.4, 'latitude': 38.83593, 'longitude': -77.40501, 'acceleration': {'z': 1.069, 'y': 0.042, 'x': -0.207}}
[26/Feb/2026 18:22:15] {'temperature': 21.09, 'altitude': 0.46, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.097, 'y': 0.056, 'x': 0.039}}
[26/Feb/2026 18:22:16] {'temperature': 21.11, 'altitude': 0.43, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.097, 'y': 0.062, 'x': 0.039}}
[26/Feb/2026 18:22:17] {'temperature': 21.11, 'altitude': 0.03, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.092, 'y': 0.055, 'x': 0.038}}
[26/Feb/2026 18:22:18] {'temperature': 21.11, 'altitude': 0.37, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.097, 'y': 0.052, 'x': 0.044}}
[26/Feb/2026 18:22:19] {'temperature': 21.12, 'altitude': 0.33, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.098, 'y': 0.061, 'x': 0.034}}
[26/Feb/2026 18:22:20] {'temperature': 21.12, 'altitude': 0.87, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.095, 'y': 0.063, 'x': 0.038}}
[26/Feb/2026 18:22:21] {'temperature': 21.12, 'altitude': 0.12, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.096, 'y': 0.053, 'x': 0.022}}
[26/Feb/2026 18:22:25] {'temperature': 21.15, 'altitude': 0.52, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.091, 'y': 0.056, 'x': 0.031}}
[26/Feb/2026 18:22:26] {'temperature': 21.15, 'altitude': 1.23, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.097, 'y': 0.063, 'x': 0.035}}
[26/Feb/2026 18:22:27] {'temperature': 21.16, 'altitude': 0.81, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.095, 'y': 0.058, 'x': 0.044}}
[26/Feb/2026 18:22:28] {'temperature': 21.17, 'altitude': 0.41, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.093, 'y': 0.062, 'x': 0.026}}
[26/Feb/2026 18:22:29] {'temperature': 21.18, 'altitude': 0.37, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.104, 'y': 0.05900001, 'x': 0.037}}
[26/Feb/2026 18:22:30] {'temperature': 21.18, 'altitude': 0.34, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.097, 'y': 0.06, 'x': 0.042}}
[26/Feb/2026 18:22:31] {'temperature': 21.19, 'altitude': -0.09, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.089, 'y': 0.061, 'x': 0.04}}
[26/Feb/2026 18:22:32] {'temperature': 21.19, 'altitude': 0.43, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.092, 'y': 0.06599999, 'x': 0.032}}
[26/Feb/2026 18:22:33] {'temperature': 21.2, 'altitude': 0.01, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.091, 'y': 0.062, 'x': 0.035}}
[26/Feb/2026 18:22:34] {'temperature': 21.21, 'altitude': 0.36, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.085, 'y': 0.062, 'x': 0.043}}
[26/Feb/2026 18:22:35] {'temperature': 21.22, 'altitude': 0.29, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.106, 'y': 0.056, 'x': 0.035}}
[26/Feb/2026 18:22:36] {'temperature': 21.23, 'altitude': 0.23, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.097, 'y': 0.055, 'x': 0.038}}
[26/Feb/2026 18:22:46] {'temperature': 21.31, 'altitude': 0.12, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.089, 'y': 0.061, 'x': 0.037}}
[26/Feb/2026 18:22:47] {'temperature': 21.31, 'altitude': 0.09, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.088, 'y': 0.06, 'x': 0.04}}
[26/Feb/2026 18:22:48] {'temperature': 21.33, 'altitude': 0.18, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.094, 'y': 0.065, 'x': 0.03}}
[26/Feb/2026 18:22:49] {'temperature': 21.33, 'altitude': 0.16, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.101, 'y': 0.052, 'x': 0.035}}
[26/Feb/2026 18:22:50] {'temperature': 21.34, 'altitude': 0.5, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.097, 'y': 0.05900001, 'x': 0.039}}
[26/Feb/2026 18:22:51] {'temperature': 21.34, 'altitude': 0.47, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.087, 'y': 0.061, 'x': 0.036}}
[26/Feb/2026 18:22:52] {'temperature': 21.35, 'altitude': 0.59, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.087, 'y': 0.05, 'x': 0.039}}
[26/Feb/2026 18:22:53] {'temperature': 21.37, 'altitude': -0.05, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.105, 'y': 0.058, 'x': 0.042}}
[26/Feb/2026 18:22:54] {'temperature': 21.38, 'altitude': 0.07, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.085, 'y': 0.065, 'x': 0.032}}
[26/Feb/2026 18:22:55] {'temperature': 21.39, 'altitude': 0.04, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.094, 'y': 0.061, 'x': 0.044}}
[26/Feb/2026 18:24:29] {'temperature': 21.9, 'altitude': 0.18, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.091, 'y': 0.065, 'x': 0.039}}
[26/Feb/2026 18:24:31] {'temperature': 21.91, 'altitude': 0.52, 'voltage': 7.4, 'latitude': 38.83596, 'longitude': -77.40488, 'acceleration': {'z': 1.1, 'y': 0.05900001, 'x': 0.038}}
[26/Feb/2026 18:24:32] {'temperature': 21.92, 'altitude': 0.31, 'voltage': 7.4, 'latitude': 38.83596, 'longitude': -77.40487, 'acceleration': {'z': 1.085, 'y': 0.06400001, 'x': 0.034}}
[26/Feb/2026 18:24:33] {'temperature': 21.92, 'altitude': 0.86, 'voltage': 7.4, 'latitude': 38.83596, 'longitude': -77.40487, 'acceleration': {'z': 1.099, 'y': 0.065, 'x': 0.039}}
[26/Feb/2026 18:24:35] {'temperature': 21.93, 'altitude': 0.63, 'voltage': 7.4, 'latitude': 38.83597, 'longitude': -77.40487, 'acceleration': {'z': 1.095, 'y': 0.052, 'x': 0.035}}
[26/Feb/2026 18:24:36] {'temperature': 21.94, 'altitude': 0.38, 'voltage': 7.4, 'latitude': 38.83598, 'longitude': -77.40487, 'acceleration': {'z': 1.098, 'y': 0.06, 'x': 0.042}}
[26/Feb/2026 18:24:37] {'temperature': 21.94, 'altitude': 0.19, 'voltage': 7.4, 'latitude': 38.83597, 'longitude': -77.40487, 'acceleration': {'z': 1.095, 'y': 0.057, 'x': 0.035}}
[26/Feb/2026 18:24:38] {'temperature': 21.94, 'altitude': 0.19, 'voltage': 7.4, 'latitude': 38.83598, 'longitude': -77.40487, 'acceleration': {'z': 1.089, 'y': 0.05900001, 'x': 0.053}}
[26/Feb/2026 18:24:42] {'temperature': 21.96, 'altitude': 0.06, 'voltage': 7.4, 'latitude': 38.83598, 'longitude': -77.40488, 'acceleration': {'z': 1.092, 'y': 0.069, 'x': 0.034}}
[26/Feb/2026 18:24:43] {'temperature': 21.96, 'altitude': 0.06, 'voltage': 7.4, 'latitude': 38.83595, 'longitude': -77.40488, 'acceleration': {'z': 1.095, 'y': 0.058, 'x': 0.039}}
[26/Feb/2026 18:24:44] {'temperature': 21.96, 'altitude': -0.33, 'voltage': 7.4, 'latitude': 38.83595, 'longitude': -77.40488, 'acceleration': {'z': 1.088, 'y': 0.055, 'x': 0.041}}
[26/Feb/2026 18:24:45] {'temperature': 21.96, 'altitude': 0.04, 'voltage': 7.4, 'latitude': 38.83595, 'longitude': -77.40488, 'acceleration': {'z': 1.085, 'y': 0.061, 'x': 0.038}}
[26/Feb/2026 18:24:46] {'temperature': 21.97, 'altitude': -0.18, 'voltage': 7.4, 'latitude': 38.83595, 'longitude': -77.40488, 'acceleration': {'z': 1.094, 'y': 0.06599999, 'x': 0.04}}
[26/Feb/2026 18:24:47] {'temperature': 21.98, 'altitude': -0.05, 'voltage': 7.4, 'latitude': 38.83596, 'longitude': -77.40488, 'acceleration': {'z': 1.093, 'y': 0.062, 'x': 0.039}}
[26/Feb/2026 18:24:48] {'temperature': 21.99, 'altitude': -0.48, 'voltage': 7.4, 'latitude': 38.83596, 'longitude': -77.40488, 'acceleration': {'z': 1.103, 'y': 0.077, 'x': 0.038}}
[26/Feb/2026 18:24:49] {'temperature': 21.99, 'altitude': -0.48, 'voltage': 7.4, 'latitude': 38.83599, 'longitude': -77.4049, 'acceleration': {'z': 1.101, 'y': 0.057, 'x': 0.04}}
[26/Feb/2026 18:24:50] {'temperature': 21.99, 'altitude': -0.54, 'voltage': 7.4, 'latitude': 38.83599, 'longitude': -77.4049, 'acceleration': {'z': 1.125, 'y': 0.07, 'x': 0.041}}
[26/Feb/2026 18:24:51] {'temperature': 22, 'altitude': 0.01, 'voltage': 7.4, 'latitude': 38.83599, 'longitude': -77.4049, 'acceleration': {'z': 1.099, 'y': 0.069, 'x': 0.036}}
[26/Feb/2026 18:24:52] {'temperature': 22, 'altitude': 0.01, 'voltage': 7.4, 'latitude': 38.83599, 'longitude': -77.4049, 'acceleration': {'z': 1.097, 'y': 0.071, 'x': 0.031}}
[26/Feb/2026 18:24:53] {'temperature': 22, 'altitude': -0.17, 'voltage': 7.4, 'latitude': 38.83599, 'longitude': -77.4049, 'acceleration': {'z': 1.091, 'y': 0.06599999, 'x': 0.038}}
[26/Feb/2026 18:24:54] {'temperature': 22.01, 'altitude': -0.22, 'voltage': 7.4, 'latitude': 38.836, 'longitude': -77.40488, 'acceleration': {'z': 1.087, 'y': 0.06400001, 'x': 0.041}}
[26/Feb/2026 18:24:55] {'temperature': 22.01, 'altitude': -0.07, 'voltage': 7.4, 'latitude': 38.836, 'longitude': -77.40488, 'acceleration': {'z': 1.098, 'y': 0.062, 'x': 0.034}}
[26/Feb/2026 18:24:56] {'temperature': 22.02, 'altitude': -0.28, 'voltage': 7.4, 'latitude': 38.836, 'longitude': -77.40488, 'acceleration': {'z': 1.101, 'y': 0.061, 'x': 0.042}}
[26/Feb/2026 18:24:57] {'temperature': 22.02, 'altitude': -0.32, 'voltage': 7.4, 'latitude': 38.836, 'longitude': -77.40488, 'acceleration': {'z': 1.095, 'y': 0.058, 'x': 0.033}}
[26/Feb/2026 18:24:58] {'temperature': 22.03, 'altitude': -0.35, 'voltage': 7.4, 'latitude': 38.836, 'longitude': -77.40488, 'acceleration': {'z': 1.095, 'y': 0.057, 'x': 0.039}}
[26/Feb/2026 18:24:59] {'temperature': 22.03, 'altitude': 0.58, 'voltage': 7.4, 'latitude': 38.836, 'longitude': -77.40488, 'acceleration': {'z': 1.096, 'y': 0.055, 'x': 0.036}}
[26/Feb/2026 18:25:00] {'temperature': 22.03, 'altitude': -0.01, 'voltage': 7.4, 'latitude': 38.83603, 'longitude': -77.40491, 'acceleration': {'z': 1.093, 'y': 0.057, 'x': 0.04}}
[26/Feb/2026 18:25:01] {'temperature': 22.04, 'altitude': -0.21, 'voltage': 7.4, 'latitude': 38.83603, 'longitude': -77.40491, 'acceleration': {'z': 1.094, 'y': 0.05900001, 'x': 0.045}}
