[27/Feb/2026 15:51:23] {'temperature': 18.16, 'altitude': -2.61, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.074, 'y': -0.022, 'x': -0.189}}
[27/Feb/2026 15:51:24] {'temperature': 18.18, 'altitude': -3.33, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.074, 'y': -0.021, 'x': -0.187}}
[27/Feb/2026 15:51:26] {'temperature': 18.3, 'altitude': -4.45, 'voltage': 7.4, 'latitude': 38.83577, 'longitude': -77.40488, 'acceleration': {'z': 1.076, 'y': -0.028, 'x': -0.19}}
[27/Feb/2026 15:51:27] {'temperature': 18.35, 'altitude': -5.26, 'voltage': 7.4, 'latitude': 38.83577, 'longitude': -77.40488, 'acceleration': {'z': 1.073, 'y': -0.024, 'x': -0.193}}
[27/Feb/2026 15:51:28] {'temperature': 18.41, 'altitude': -6.25, 'voltage': 7.4, 'latitude': 38.8358, 'longitude': -77.40488, 'acceleration': {'z': 1.076, 'y': -0.021, 'x': -0.189}}
[27/Feb/2026 15:51:29] {'temperature': 18.44, 'altitude': -7.03, 'voltage': 7.4, 'latitude': 38.83581, 'longitude': -77.4049, 'acceleration': {'z': 1.079, 'y': -0.02, 'x': -0.196}}
[27/Feb/2026 15:51:30] {'temperature': 18.52, 'altitude': -7.3, 'voltage': 7.4, 'latitude': 38.83581, 'longitude': -77.4049, 'acceleration': {'z': 1.077, 'y': -0.03, 'x': -0.185}}
[27/Feb/2026 15:51:31] {'temperature': 18.57, 'altitude': -8.02, 'voltage': 7.4, 'latitude': 38.83581, 'longitude': -77.4049, 'acceleration': {'z': 1.076, 'y': -0.019, 'x': -0.19}}
[27/Feb/2026 15:51:32] {'temperature': 18.66, 'altitude': -9.28, 'voltage': 7.4, 'latitude': 38.83581, 'longitude': -77.4049, 'acceleration': {'z': 1.079, 'y': -0.02, 'x': -0.189}}
[27/Feb/2026 15:51:33] {'temperature': 18.75, 'altitude': -9.17, 'voltage': 7.4, 'latitude': 38.83581, 'longitude': -77.4049, 'acceleration': {'z': 1.08, 'y': -0.027, 'x': -0.194}}
[27/Feb/2026 15:51:34] {'temperature': 18.8, 'altitude': -3.14, 'voltage': 7.4, 'latitude': 38.83581, 'longitude': -77.4049, 'acceleration': {'z': 1.078, 'y': -0.022, 'x': -0.188}}
[27/Feb/2026 15:51:35] {'temperature': 18.85, 'altitude': -8.14, 'voltage': 7.4, 'latitude': 38.83581, 'longitude': -77.4049, 'acceleration': {'z': 1.078, 'y': -0.019, 'x': -0.192}}
[27/Feb/2026 15:51:36] {'temperature': 18.97, 'altitude': -10.76, 'voltage': 7.4, 'latitude': 38.83581, 'longitude': -77.4049, 'acceleration': {'z': 1.083, 'y': -0.03, 'x': -0.185}}
[27/Feb/2026 15:51:37] {'temperature': 19.06, 'altitude': -11.15, 'voltage': 7.4, 'latitude': 38.83581, 'longitude': -77.4049, 'acceleration': {'z': 1.005, 'y': -0.01, 'x': -0.015}}
[27/Feb/2026 15:51:38] {'temperature': 19.19, 'altitude': -12.5, 'voltage': 7.4, 'latitude': 38.83581, 'longitude': -77.4049, 'acceleration': {'z': 1.086, 'y': -0.021, 'x': -0.165}}
[27/Feb/2026 15:51:39] {'temperature': 19.28, 'altitude': -10.72, 'voltage': 7.4, 'latitude': 38.83581, 'longitude': -77.4049, 'acceleration': {'z': 1.081, 'y': -0.023, 'x': -0.168}}
[27/Feb/2026 15:51:40] {'temperature': 19.37, 'altitude': -10.32, 'voltage': 7.4, 'latitude': 38.83581, 'longitude': -77.4049, 'acceleration': {'z': 1.08, 'y': -0.027, 'x': -0.165}}
[27/Feb/2026 15:51:41] {'temperature': 19.45, 'altitude': -10.38, 'voltage': 7.4, 'latitude': 38.83581, 'longitude': -77.40488, 'acceleration': {'z': 1.076, 'y': -0.019, 'x': -0.17}}
[27/Feb/2026 15:51:42] {'temperature': 19.57, 'altitude': -10.3, 'voltage': 7.4, 'latitude': 38.83581, 'longitude': -77.40488, 'acceleration': {'z': 1.078, 'y': -0.021, 'x': -0.166}}
[27/Feb/2026 15:51:43] {'temperature': 19.67, 'altitude': -10.27, 'voltage': 7.4, 'latitude': 38.83581, 'longitude': -77.40488, 'acceleration': {'z': 1.082, 'y': -0.026, 'x': -0.167}}
[27/Feb/2026 15:51:44] {'temperature': 19.77, 'altitude': -10.36, 'voltage': 7.4, 'latitude': 38.83581, 'longitude': -77.40488, 'acceleration': {'z': 1.073, 'y': -0.025, 'x': -0.165}}
[27/Feb/2026 15:51:45] {'temperature': 19.87, 'altitude': -12.47, 'voltage': 7.4, 'latitude': 38.8358, 'longitude': -77.40488, 'acceleration': {'z': 1.078, 'y': -0.028, 'x': -0.17}}
[27/Feb/2026 15:51:49] {'temperature': 20.32, 'altitude': -16.75, 'voltage': 7.4, 'latitude': 38.8358, 'longitude': -77.40488, 'acceleration': {'z': 1.074, 'y': -0.08200001, 'x': -0.199}}
[27/Feb/2026 15:51:50] {'temperature': 20.39, 'altitude': -17.01, 'voltage': 7.4, 'latitude': 38.8358, 'longitude': -77.40488, 'acceleration': {'z': 1.062, 'y': -0.087, 'x': -0.199}}
[27/Feb/2026 15:51:51] {'temperature': 20.52, 'altitude': -16.67, 'voltage': 7.4, 'latitude': 38.83578, 'longitude': -77.4049, 'acceleration': {'z': 1.076, 'y': -0.086, 'x': -0.201}}
[27/Feb/2026 15:51:52] {'temperature': 20.62, 'altitude': -16.45, 'voltage': 7.4, 'latitude': 38.83578, 'longitude': -77.4049, 'acceleration': {'z': 1.077, 'y': -0.087, 'x': -0.2}}
[27/Feb/2026 15:51:53] {'temperature': 20.73, 'altitude': -16.75, 'voltage': 7.4, 'latitude': 38.83578, 'longitude': -77.4049, 'acceleration': {'z': 1.071, 'y': -0.087, 'x': -0.188}}
[27/Feb/2026 15:51:54] {'temperature': 20.82, 'altitude': -16.55, 'voltage': 7.4, 'latitude': 38.83578, 'longitude': -77.4049, 'acceleration': {'z': 1.071, 'y': -0.088, 'x': -0.193}}
[27/Feb/2026 15:51:55] {'temperature': 20.93, 'altitude': -17.27, 'voltage': 7.4, 'latitude': 38.83578, 'longitude': -77.4049, 'acceleration': {'z': 1.065, 'y': -0.086, 'x': -0.194}}
[27/Feb/2026 15:51:57] {'temperature': 21.03, 'altitude': -16.62, 'voltage': 7.4, 'latitude': 38.83578, 'longitude': -77.4049, 'acceleration': {'z': 1.077, 'y': -0.09099999, 'x': -0.198}}
[27/Feb/2026 15:51:58] {'temperature': 21.12, 'altitude': -16.56, 'voltage': 7.4, 'latitude': 38.83578, 'longitude': -77.40491, 'acceleration': {'z': 1.067, 'y': -0.088, 'x': -0.187}}
[27/Feb/2026 15:51:59] {'temperature': 21.25, 'altitude': -16.61, 'voltage': 7.4, 'latitude': 38.83578, 'longitude': -77.40491, 'acceleration': {'z': 1.062, 'y': -0.084, 'x': -0.194}}
[27/Feb/2026 15:52:00] {'temperature': 21.35, 'altitude': -17.08, 'voltage': 7.4, 'latitude': 38.83578, 'longitude': -77.40491, 'acceleration': {'z': 1.074, 'y': -0.09099999, 'x': -0.194}}
