[03/Mar/2026 19:30:16] {'temperature': 20.29, 'altitude': -0.15, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.09, 'y': 0.012, 'x': 0.156}}
[03/Mar/2026 19:30:17] {'temperature': 20.31, 'altitude': -0.1, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.089, 'y': 0.012, 'x': 0.162}}
[03/Mar/2026 19:30:18] {'temperature': 20.32, 'altitude': 0.01, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.084, 'y': 0.016, 'x': 0.153}}
[03/Mar/2026 19:30:19] {'temperature': 20.33, 'altitude': -0.64, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.09, 'y': 0.02, 'x': 0.16}}
[03/Mar/2026 19:30:20] {'temperature': 20.34, 'altitude': -0.33, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.088, 'y': 0.012, 'x': 0.164}}
[03/Mar/2026 19:30:21] {'temperature': 20.36, 'altitude': -0.26, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.083, 'y': 0.013, 'x': 0.159}}
[03/Mar/2026 19:30:22] {'temperature': 20.37, 'altitude': 0.07, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.085, 'y': 0.014, 'x': 0.154}}
[03/Mar/2026 19:30:23] {'temperature': 20.38, 'altitude': -0.38, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.095, 'y': 0.011, 'x': 0.159}}
[03/Mar/2026 19:30:24] {'temperature': 20.39, 'altitude': -0.12, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.082, 'y': 0.009, 'x': 0.156}}
[03/Mar/2026 19:30:25] {'temperature': 20.4, 'altitude': -0.36, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.095, 'y': 0.013, 'x': 0.158}}
[03/Mar/2026 19:30:26] {'temperature': 20.42, 'altitude': 0.49, 'voltage': 7.4, 'latitude': 0, 'longitude': 0, 'acceleration': {'z': 1.014, 'y': 0.039, 'x': 0.166}}
